-------------
sw-12-04
            88.4dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 16.3Hz  25Hz   39Hz  103.8dB 1174l + 163l  * 1x50mm    566mm
 17.7Hz  27Hz   40Hz  105.2dB  558l + 163l  * 1x50mm    504mm
 19.2Hz  28Hz   42Hz  106.6dB  421l + 163l  * 1x50mm    472mm
 20.7Hz  30Hz   43Hz  107.9dB  248l + 163l  - 1x70mm    785mm
 22.4Hz  32Hz   45Hz  109.3dB  187l + 163l  - 1x70mm    700mm
 24.2Hz  34Hz   47Hz  110.6dB  146l + 163l  - 1x70mm    624mm
 26.1Hz  36Hz   49Hz  111.9dB  117l + 163l  - 1x70mm    556mm
 12.7Hz  25Hz   35Hz   99.5dB 1748l + 120l  * 1x50mm    799mm
 13.8Hz  26Hz   37Hz  100.9dB  677l + 120l  * 1x50mm    712mm
 15.0Hz  28Hz   38Hz  102.4dB  401l + 120l  * 1x50mm    635mm
 16.3Hz  29Hz   39Hz  103.8dB  275l + 120l  * 1x50mm    566mm
 17.7Hz  27Hz   40Hz  105.2dB  558l + 120l  * 1x50mm    686mm
 19.2Hz  28Hz   42Hz  106.6dB  421l + 120l  * 1x50mm    643mm
 20.7Hz  30Hz   43Hz  107.9dB  248l + 120l  * 1x50mm    545mm
 19.2Hz  32Hz   45Hz  106.6dB  187l + 120l  * 1x50mm    486mm
 21.0Hz  34Hz   47Hz  108.2dB  146l + 120l  * 1x50mm    433mm
 26.1Hz  36Hz   49Hz  111.9dB  117l + 120l  - 1x70mm    756mm
 12.0Hz  25Hz   52Hz   98.5dB 1396l +  83l  * 1x50mm   1129mm
 13.2Hz  26Hz   53Hz  100.1dB  610l +  83l  * 1x50mm   1006mm
 14.5Hz  28Hz   54Hz  101.7dB  374l +  83l  * 1x50mm    897mm
 15.8Hz  30Hz   56Hz  103.2dB  260l +  83l  * 1x50mm    799mm
 17.3Hz  31Hz   57Hz  104.8dB  194l +  83l  * 1x50mm    712mm
 18.9Hz  33Hz   59Hz  106.3dB  151l +  83l  * 1x50mm    635mm
 20.6Hz  35Hz   61Hz  107.8dB  121l +  83l  * 1x50mm    566mm
 22.4Hz  37Hz   62Hz  109.3dB   99l +  83l  * 1x50mm    504mm
 24.4Hz  40Hz   64Hz  110.8dB   82l +  83l  * 1x50mm    449mm
 26.5Hz  42Hz   67Hz  112.2dB   69l +  83l  - 1x70mm    785mm
 28.8Hz  44Hz   69Hz  113.6dB   59l +  83l  - 1x70mm    700mm
 31.2Hz  47Hz   71Hz  115.0dB   50l +  83l  - 1x70mm    624mm
 33.8Hz  50Hz   74Hz  116.4dB   43l +  83l  - 1x70mm    556mm
