-------------
SHX-8S4
            86.7dB           200W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 17.1Hz  39Hz   64Hz  100.4dB  120l +  23l  * 1x70mm   3396mm
 18.7Hz  41Hz   66Hz  102.0dB   91l +  23l  * 1x70mm   3028mm
 20.4Hz  43Hz   68Hz  103.5dB   71l +  23l  * 1x70mm   2699mm
 22.3Hz  46Hz   70Hz  105.0dB   57l +  23l  * 1x70mm   2405mm
 24.3Hz  49Hz   72Hz  106.5dB   47l +  23l  * 1x70mm   2143mm
 26.5Hz  52Hz   74Hz  108.0dB   39l +  23l  * 1x70mm   1910mm
 28.8Hz  55Hz   76Hz  109.5dB   33l +  23l  * 1x70mm   1703mm
 31.3Hz  58Hz   79Hz  110.9dB   28l +  23l  * 1x70mm   1517mm
 34.0Hz  61Hz   81Hz  112.3dB   24l +  23l  * 1x70mm   1352mm
 36.8Hz  56Hz   84Hz  113.7dB   31l +  23l  * 1x70mm   1641mm
 39.9Hz  57Hz   87Hz  115.1dB   29l +  23l  * 1x70mm   1536mm
 43.1Hz  62Hz   90Hz  116.5dB   23l +  23l  * 1x70mm   1303mm
 40.0Hz  66Hz   94Hz  115.2dB   20l +  23l  * 1x70mm   1161mm
 43.7Hz  70Hz   98Hz  116.7dB   17l +  23l  * 1x70mm   1035mm
 54.2Hz  74Hz  101Hz  120.5dB   15l +  23l  * 1x70mm    922mm
 17.0Hz  41Hz  100Hz  100.4dB   87l +  16l  * 1x70mm   4276mm
 18.8Hz  44Hz  102Hz  102.1dB   69l +  16l  * 1x70mm   3812mm
 20.7Hz  46Hz  104Hz  103.7dB   56l +  16l  * 1x70mm   3397mm
 22.8Hz  49Hz  106Hz  105.4dB   46l +  16l  * 1x70mm   3027mm
 25.0Hz  52Hz  108Hz  107.0dB   38l +  16l  * 1x70mm   2698mm
 27.4Hz  55Hz  111Hz  108.6dB   32l +  16l  * 1x70mm   2405mm
 30.1Hz  58Hz  113Hz  110.2dB   27l +  16l  * 1x70mm   2143mm
 32.9Hz  62Hz  116Hz  111.8dB   23l +  16l  * 1x70mm   1910mm
 36.0Hz  66Hz  119Hz  113.4dB   20l +  16l  * 1x70mm   1702mm
 39.3Hz  69Hz  123Hz  114.9dB   17l +  16l  * 1x70mm   1517mm
 42.9Hz  74Hz  126Hz  116.4dB   15l +  16l  * 1x70mm   1352mm
 46.7Hz  78Hz  130Hz  117.9dB   13l +  16l  * 1x70mm   1205mm
 50.8Hz  82Hz  134Hz  119.3dB   12l +  16l  * 1x70mm   1074mm
 55.2Hz  87Hz  138Hz  120.8dB   10l +  16l  * 1x70mm    957mm
 59.9Hz  93Hz  143Hz  122.2dB    9l +  16l  * 1x70mm    853mm
 64.9Hz  98Hz  148Hz  123.6dB    8l +  16l  * 1x70mm    761mm
 70.2Hz 104Hz  154Hz  125.0dB    7l +  16l  * 1x70mm    678mm
