-------------
GZTW10MK2
            85.2dB           300W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 17.2Hz  40Hz   69Hz  101.8dB   48l +  10l  * 1x50mm   3695mm
 18.8Hz  43Hz   71Hz  103.4dB   38l +  10l  * 1x50mm   3294mm
 20.6Hz  45Hz   73Hz  105.0dB   31l +  10l  * 1x50mm   2936mm
 22.5Hz  48Hz   74Hz  106.5dB   25l +  10l  * 1x50mm   2617mm
 24.6Hz  51Hz   77Hz  108.1dB   21l +  10l  * 1x50mm   2332mm
 26.8Hz  54Hz   79Hz  109.6dB   18l +  10l  * 1x50mm   2078mm
 29.2Hz  57Hz   81Hz  111.0dB   15l +  10l  * 1x50mm   1852mm
 31.7Hz  60Hz   84Hz  112.5dB   13l +  10l  * 1x50mm   1651mm
 34.5Hz  64Hz   86Hz  113.9dB   11l +  10l  * 1x50mm   1471mm
 37.4Hz  67Hz   89Hz  115.4dB   10l +  10l  * 1x50mm   1311mm
 40.5Hz  61Hz   93Hz  116.8dB   12l +  10l  * 1x50mm   1591mm
 43.9Hz  63Hz   96Hz  118.1dB   11l +  10l  * 1x50mm   1490mm
 47.5Hz  69Hz   99Hz  119.5dB    9l +  10l  * 1x50mm   1264mm
 44.1Hz  73Hz  103Hz  118.2dB    8l +  10l  * 1x50mm   1126mm
 48.1Hz  77Hz  107Hz  119.8dB    7l +  10l  * 1x50mm   1004mm
 59.7Hz  82Hz  112Hz  123.5dB    6l +  10l  * 1x50mm    895mm
 18.8Hz  46Hz  110Hz  103.4dB   30l +   7l  * 1x50mm   4146mm
 20.7Hz  48Hz  112Hz  105.1dB   25l +   7l  * 1x50mm   3696mm
 22.8Hz  51Hz  114Hz  106.8dB   21l +   7l  * 1x50mm   3294mm
 25.1Hz  54Hz  117Hz  108.4dB   17l +   7l  * 1x50mm   2936mm
 27.5Hz  57Hz  119Hz  110.0dB   15l +   7l  * 1x50mm   2617mm
 30.2Hz  61Hz  122Hz  111.7dB   13l +   7l  * 1x50mm   2332mm
 33.1Hz  64Hz  125Hz  113.3dB   11l +   7l  * 1x50mm   2078mm
 36.2Hz  68Hz  128Hz  114.8dB    9l +   7l  * 1x50mm   1852mm
 39.6Hz  72Hz  131Hz  116.4dB    8l +   7l  * 1x50mm   1651mm
 43.3Hz  76Hz  135Hz  117.9dB    7l +   7l  * 1x50mm   1471mm
 47.2Hz  81Hz  139Hz  119.4dB    6l +   7l  * 1x50mm   1311mm
 51.4Hz  86Hz  143Hz  120.9dB    6l +   7l  * 1x50mm   1169mm
 55.9Hz  91Hz  148Hz  122.3dB    5l +   7l  * 1x50mm   1042mm
 60.7Hz  96Hz  152Hz  123.8dB    4l +   7l  * 1x50mm    928mm
 65.9Hz 102Hz  158Hz  125.2dB    4l +   7l  * 1x50mm    827mm
 71.4Hz 108Hz  163Hz  126.6dB    3l +   7l  * 1x50mm    737mm
 77.3Hz 114Hz  169Hz  128.0dB    3l +   7l  * 1x50mm    657mm
-------------
GZRW 12	    
            91.0dB           500W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 12.3Hz  26Hz   53Hz   99.1dB -2908l +  44l  * 1x50mm   2045mm
 13.5Hz  27Hz   54Hz  100.7dB 1326l +  44l  * 1x50mm   1823mm
 14.8Hz  29Hz   56Hz  102.3dB  503l +  44l  * 1x50mm   1625mm
 16.1Hz  30Hz   57Hz  103.9dB  297l +  44l  * 1x50mm   1448mm
 17.7Hz  32Hz   58Hz  105.4dB  203l +  44l  * 1x50mm   1291mm
 19.3Hz  34Hz   60Hz  107.0dB  150l +  44l  * 1x50mm   1150mm
 21.0Hz  36Hz   62Hz  108.5dB  116l +  44l  * 1x50mm   1025mm
 22.9Hz  38Hz   64Hz  109.9dB   93l +  44l  * 1x50mm    914mm
 24.9Hz  40Hz   66Hz  111.4dB   75l +  44l  * 1x50mm    814mm
 27.0Hz  43Hz   68Hz  112.8dB   62l +  44l  * 1x50mm    726mm
 29.4Hz  45Hz   70Hz  114.3dB   52l +  44l  * 1x50mm    647mm
 31.8Hz  48Hz   73Hz  115.7dB   44l +  44l  * 1x50mm    577mm
 34.4Hz  50Hz   75Hz  117.0dB   40l +  44l  * 1x50mm    540mm
 37.3Hz  54Hz   78Hz  118.4dB   32l +  44l  * 1x50mm    458mm
 40.3Hz  57Hz   81Hz  119.7dB   28l +  44l  - 1x70mm    800mm
 43.5Hz  61Hz   84Hz  121.1dB   24l +  44l  - 1x70mm    713mm
 46.9Hz  64Hz   88Hz  122.4dB   21l +  44l  - 1x70mm    635mm
 12.3Hz  30Hz   53Hz   99.1dB  344l +  32l  * 1x50mm   2046mm
 13.5Hz  32Hz   54Hz  100.7dB  227l +  32l  * 1x50mm   1823mm
 14.8Hz  33Hz   56Hz  102.3dB  164l +  32l  * 1x50mm   1625mm
 16.1Hz  35Hz   57Hz  103.9dB  126l +  32l  * 1x50mm   1448mm
 17.7Hz  37Hz   58Hz  105.4dB   99l +  32l  * 1x50mm   1291mm
 19.3Hz  40Hz   60Hz  107.0dB   80l +  32l  * 1x50mm   1150mm
 21.0Hz  42Hz   62Hz  108.5dB   66l +  32l  * 1x50mm   1025mm
 22.9Hz  45Hz   64Hz  109.9dB   55l +  32l  * 1x50mm    914mm
 24.9Hz  47Hz   66Hz  111.4dB   47l +  32l  * 1x50mm    814mm
 27.0Hz  50Hz   68Hz  112.8dB   40l +  32l  * 1x50mm    726mm
 29.4Hz  53Hz   70Hz  114.3dB   34l +  32l  * 1x50mm    647mm
 31.8Hz  48Hz   73Hz  115.7dB   44l +  32l  * 1x50mm    785mm
 34.4Hz  50Hz   75Hz  117.0dB   40l +  32l  * 1x50mm    735mm
 37.3Hz  54Hz   78Hz  118.4dB   32l +  32l  * 1x50mm    623mm
 34.6Hz  57Hz   81Hz  117.1dB   28l +  32l  * 1x50mm    555mm
 37.8Hz  61Hz   84Hz  118.7dB   24l +  32l  * 1x50mm    495mm
 46.9Hz  64Hz   88Hz  122.4dB   21l +  32l  * 1x50mm    441mm
 14.7Hz  36Hz   87Hz  102.3dB  120l +  23l  * 1x50mm   2045mm
 16.2Hz  38Hz   88Hz  104.0dB   96l +  23l  * 1x50mm   1823mm
 17.9Hz  40Hz   90Hz  105.6dB   78l +  23l  * 1x50mm   1625mm
 19.7Hz  42Hz   92Hz  107.3dB   64l +  23l  * 1x50mm   1448mm
 21.6Hz  45Hz   94Hz  108.9dB   54l +  23l  * 1x50mm   1291mm
 23.7Hz  48Hz   96Hz  110.6dB   45l +  23l  * 1x50mm   1150mm
 26.0Hz  50Hz   98Hz  112.1dB   39l +  23l  * 1x50mm   1025mm
 28.4Hz  53Hz  100Hz  113.7dB   33l +  23l  * 1x50mm    914mm
 31.1Hz  57Hz  103Hz  115.3dB   29l +  23l  * 1x50mm    814mm
 34.0Hz  60Hz  106Hz  116.8dB   25l +  23l  * 1x50mm    726mm
 37.0Hz  64Hz  109Hz  118.3dB   22l +  23l  * 1x50mm    647mm
 40.3Hz  67Hz  112Hz  119.8dB   19l +  23l  * 1x50mm    577mm
 43.9Hz  71Hz  116Hz  121.2dB   16l +  23l  * 1x50mm    514mm
 47.7Hz  75Hz  120Hz  122.7dB   14l +  23l  * 1x50mm    458mm
 51.7Hz  80Hz  124Hz  124.1dB   13l +  23l  * 1x50mm    408mm
 56.1Hz  85Hz  128Hz  125.5dB   11l +  23l  - 1x70mm    713mm
 60.7Hz  90Hz  133Hz  126.9dB   10l +  23l  - 1x70mm    635mm
-------------
GZRW 15	    
            92.5dB           600W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 10.5Hz  22Hz   45Hz  100.9dB -1556l + 130l  * 1x70mm   1865mm
 11.5Hz  23Hz   46Hz  102.5dB -3712l + 130l  * 1x70mm   1662mm
 12.6Hz  24Hz   47Hz  104.1dB 6673l + 130l  * 1x70mm   1481mm
