-------------
L18S801
            99.5dB           700W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 33.1Hz  68Hz  103Hz  117.1dB   69l +  37l  * 1x100mm  1352mm
 36.1Hz  72Hz  106Hz  118.6dB   60l +  37l  * 1x100mm  1205mm
 39.3Hz  77Hz  109Hz  120.1dB   52l +  37l  * 1x100mm  1074mm
 42.8Hz  81Hz  113Hz  121.5dB   45l +  37l  * 1x100mm   957mm
 46.5Hz  86Hz  117Hz  123.0dB   39l +  37l  * 1x100mm   853mm
 50.4Hz  91Hz  121Hz  124.4dB   34l +  37l  * 1x100mm   760mm
 54.7Hz  83Hz  125Hz  125.8dB   43l +  37l  * 1x100mm   923mm
 59.2Hz  85Hz  129Hz  127.2dB   40l +  37l  * 1x100mm   864mm
 64.0Hz  93Hz  134Hz  128.5dB   33l +  37l  * 1x100mm   733mm
 59.5Hz  98Hz  139Hz  127.3dB   29l +  37l  * 1x100mm   653mm
 64.9Hz 104Hz  145Hz  128.8dB   25l +  37l  * 1x100mm   582mm
 80.5Hz 110Hz  151Hz  132.5dB   22l +  37l  * 1x100mm   519mm
 25.3Hz  61Hz  149Hz  112.4dB   92l +  26l  * 1x100mm  2404mm
 27.9Hz  65Hz  152Hz  114.1dB   78l +  26l  * 1x100mm  2144mm
 30.7Hz  69Hz  154Hz  115.8dB   67l +  26l  * 1x100mm  1910mm
 33.8Hz  73Hz  157Hz  117.4dB   58l +  26l  * 1x100mm  1702mm
 37.1Hz  77Hz  161Hz  119.1dB   50l +  26l  * 1x100mm  1517mm
 40.8Hz  82Hz  164Hz  120.7dB   44l +  26l  * 1x100mm  1352mm
 44.7Hz  87Hz  168Hz  122.3dB   38l +  26l  * 1x100mm  1205mm
 48.9Hz  92Hz  173Hz  123.9dB   33l +  26l  * 1x100mm  1074mm
 53.4Hz  97Hz  177Hz  125.4dB   29l +  26l  * 1x100mm   957mm
 58.4Hz 103Hz  182Hz  126.9dB   26l +  26l  * 1x100mm   853mm
 63.6Hz 109Hz  187Hz  128.4dB   23l +  26l  * 1x100mm   760mm
 69.3Hz 116Hz  193Hz  129.9dB   20l +  26l  * 1x100mm   678mm
 75.4Hz 122Hz  199Hz  131.4dB   18l +  26l  * 1x100mm   604mm
 81.9Hz 130Hz  206Hz  132.8dB   16l +  26l  * 1x100mm   538mm
-------------
LF18X401
            97.5dB          1500W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 21.1Hz  44Hz   91Hz  109.6dB  240l +  51l  * 1x100mm  2400mm
 23.2Hz  46Hz   93Hz  111.2dB  196l +  51l  * 1x100mm  2139mm
 25.4Hz  49Hz   96Hz  112.8dB  162l +  51l  * 1x100mm  1906mm
 27.8Hz  52Hz   98Hz  114.4dB  136l +  51l  * 1x100mm  1699mm
 30.4Hz  55Hz  101Hz  115.9dB  115l +  51l  * 1x100mm  1514mm
 33.1Hz  59Hz  103Hz  117.4dB   98l +  51l  * 1x100mm  1350mm
 36.1Hz  62Hz  106Hz  118.9dB   84l +  51l  * 1x100mm  1203mm
 39.4Hz  66Hz  110Hz  120.4dB   72l +  51l  * 1x100mm  1072mm
 42.8Hz  70Hz  113Hz  121.9dB   63l +  51l  * 1x100mm   955mm
 46.5Hz  74Hz  117Hz  123.3dB   54l +  51l  * 1x100mm   852mm
 50.5Hz  78Hz  121Hz  124.7dB   48l +  51l  * 1x100mm   759mm
 54.7Hz  83Hz  125Hz  126.1dB   42l +  51l  * 1x100mm   676mm
 59.2Hz  85Hz  129Hz  127.5dB   39l +  51l  * 1x100mm   634mm
 64.1Hz  93Hz  134Hz  128.9dB   32l +  51l  * 1x100mm   537mm
 69.2Hz  98Hz  139Hz  130.2dB   28l +  51l  * 1x100mm   479mm
 74.7Hz 104Hz  145Hz  131.6dB   25l +  51l  * 1x100mm   427mm
 80.6Hz 110Hz  151Hz  132.9dB   22l +  51l  - 2x100mm   756mm
 21.1Hz  51Hz   91Hz  109.6dB  143l +  37l  * 1x100mm  2400mm
 23.2Hz  54Hz   93Hz  111.2dB  121l +  37l  * 1x100mm  2139mm
 25.4Hz  57Hz   96Hz  112.8dB  103l +  37l  * 1x100mm  1906mm
 27.8Hz  61Hz   98Hz  114.4dB   88l +  37l  * 1x100mm  1699mm
 30.4Hz  64Hz  101Hz  115.9dB   76l +  37l  * 1x100mm  1515mm
 33.1Hz  68Hz  103Hz  117.4dB   66l +  37l  * 1x100mm  1349mm
