-------------
5W3211B
            87.2dB            50W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 21.4Hz  48Hz   81Hz   99.5dB   47l +  17l  * 1x50mm   1440mm
 23.4Hz  51Hz   83Hz  101.0dB   40l +  17l  * 1x50mm   1284mm
 25.6Hz  54Hz   85Hz  102.6dB   35l +  17l  * 1x50mm   1144mm
 28.0Hz  58Hz   87Hz  104.1dB   30l +  17l  * 1x50mm   1020mm
 30.5Hz  61Hz   90Hz  105.6dB   26l +  17l  * 1x50mm    909mm
 33.2Hz  65Hz   92Hz  107.1dB   23l +  17l  * 1x50mm    810mm
 36.1Hz  68Hz   95Hz  108.5dB   20l +  17l  * 1x50mm    722mm
 39.2Hz  72Hz   98Hz  110.0dB   18l +  17l  * 1x50mm    643mm
 42.6Hz  77Hz  102Hz  111.4dB   15l +  17l  * 1x50mm    574mm
 46.1Hz  70Hz  105Hz  112.8dB   19l +  17l  * 1x50mm    696mm
 50.0Hz  72Hz  109Hz  114.2dB   18l +  17l  * 1x50mm    652mm
 54.0Hz  78Hz  113Hz  115.5dB   15l +  17l  * 1x50mm    553mm
 50.2Hz  83Hz  118Hz  114.3dB   13l +  17l  * 1x50mm    492mm
 54.8Hz  88Hz  122Hz  115.8dB   11l +  17l  * 1x50mm    439mm
 68.0Hz  93Hz  127Hz  119.5dB   10l +  17l  - 1x70mm    767mm
 21.4Hz  52Hz  126Hz   99.4dB   39l +  12l  * 1x50mm   1813mm
 23.5Hz  55Hz  128Hz  101.1dB   34l +  12l  * 1x50mm   1617mm
 25.9Hz  58Hz  130Hz  102.8dB   29l +  12l  * 1x50mm   1441mm
 28.5Hz  62Hz  133Hz  104.4dB   26l +  12l  * 1x50mm   1284mm
 31.3Hz  65Hz  136Hz  106.1dB   22l +  12l  * 1x50mm   1144mm
 34.4Hz  69Hz  139Hz  107.7dB   20l +  12l  * 1x50mm   1020mm
 37.7Hz  73Hz  142Hz  109.3dB   17l +  12l  * 1x50mm    909mm
 41.3Hz  78Hz  146Hz  110.9dB   15l +  12l  * 1x50mm    810mm
 45.1Hz  82Hz  149Hz  112.4dB   13l +  12l  * 1x50mm    722mm
 49.2Hz  87Hz  154Hz  113.9dB   12l +  12l  * 1x50mm    643mm
 53.7Hz  92Hz  158Hz  115.4dB   10l +  12l  * 1x50mm    574mm
 58.5Hz  98Hz  163Hz  116.9dB    9l +  12l  * 1x50mm    511mm
 63.6Hz 103Hz  168Hz  118.4dB    8l +  12l  * 1x50mm    456mm
 69.1Hz 110Hz  173Hz  119.8dB    7l +  12l  - 1x70mm    796mm
 75.0Hz 116Hz  179Hz  121.2dB    6l +  12l  - 1x70mm    709mm
 81.3Hz 123Hz  186Hz  122.6dB    6l +  12l  - 1x70mm    632mm
 88.0Hz 130Hz  192Hz  124.0dB    5l +  12l  - 1x70mm    563mm
-------------
13V7512D
            90.9dB           250W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 13.3Hz  28Hz   57Hz   95.2dB  378l +  80l  * 1x70mm   1894mm
 14.6Hz  29Hz   59Hz   96.8dB  308l +  80l  * 1x70mm   1688mm
 16.0Hz  31Hz   60Hz   98.4dB  254l +  80l  * 1x70mm   1504mm
 17.5Hz  33Hz   62Hz  100.0dB  213l +  80l  * 1x70mm   1341mm
 19.1Hz  35Hz   63Hz  101.5dB  180l +  80l  * 1x70mm   1195mm
 20.8Hz  37Hz   65Hz  103.0dB  153l +  80l  * 1x70mm   1065mm
 22.7Hz  39Hz   67Hz  104.5dB  132l +  80l  * 1x70mm    949mm
 24.8Hz  41Hz   69Hz  106.0dB  114l +  80l  * 1x70mm    846mm
 26.9Hz  44Hz   71Hz  107.5dB   98l +  80l  * 1x70mm    754mm
 29.3Hz  46Hz   73Hz  108.9dB   86l +  80l  * 1x70mm    672mm
 31.8Hz  49Hz   76Hz  110.3dB   75l +  80l  * 1x70mm    599mm
 34.4Hz  52Hz   79Hz  111.7dB   65l +  80l  * 1x70mm    534mm
 37.3Hz  54Hz   81Hz  113.1dB   61l +  80l  * 1x70mm    500mm
 40.3Hz  58Hz   84Hz  114.5dB   50l +  80l  * 1x70mm    424mm
 43.6Hz  62Hz   88Hz  115.8dB   44l +  80l  - 1x100mm   771mm
 47.0Hz  65Hz   91Hz  117.2dB   39l +  80l  - 1x100mm   687mm
 50.7Hz  69Hz   95Hz  118.5dB   34l +  80l  - 1x100mm   613mm
 13.3Hz  32Hz   57Hz   95.2dB  225l +  59l  * 1x70mm   1894mm
 14.6Hz  34Hz   59Hz   96.8dB  190l +  59l  * 1x70mm   1688mm
 16.0Hz  36Hz   60Hz   98.4dB  161l +  59l  * 1x70mm   1504mm
 17.5Hz  38Hz   62Hz  100.0dB  138l +  59l  * 1x70mm   1341mm
 19.1Hz  41Hz   63Hz  101.5dB  119l +  59l  * 1x70mm   1195mm
 20.8Hz  43Hz   65Hz  103.0dB  103l +  59l  * 1x70mm   1065mm
 22.7Hz  45Hz   67Hz  104.5dB   89l +  59l  * 1x70mm    949mm
 24.8Hz  48Hz   69Hz  106.0dB   78l +  59l  * 1x70mm    846mm
 26.9Hz  51Hz   71Hz  107.5dB   68l +  59l  * 1x70mm    754mm
 29.3Hz  54Hz   73Hz  108.9dB   60l +  59l  * 1x70mm    672mm
 31.8Hz  57Hz   76Hz  110.3dB   52l +  59l  * 1x70mm    599mm
 34.4Hz  52Hz   79Hz  111.7dB   65l +  59l  * 1x70mm    727mm
 37.3Hz  54Hz   81Hz  113.1dB   61l +  59l  * 1x70mm    680mm
 40.3Hz  58Hz   84Hz  114.5dB   50l +  59l  * 1x70mm    577mm
 37.4Hz  62Hz   88Hz  113.2dB   44l +  59l  * 1x70mm    514mm
 40.9Hz  65Hz   91Hz  114.7dB   39l +  59l  * 1x70mm    458mm
 50.7Hz  69Hz   95Hz  118.5dB   34l +  59l  * 1x70mm    409mm
 15.9Hz  39Hz   94Hz   98.4dB  135l +  41l  * 1x70mm   1894mm
 17.6Hz  41Hz   95Hz  100.1dB  116l +  41l  * 1x70mm   1688mm
 19.3Hz  43Hz   97Hz  101.7dB  101l +  41l  * 1x70mm   1505mm
 21.3Hz  46Hz   99Hz  103.4dB   87l +  41l  * 1x70mm   1341mm
 23.4Hz  49Hz  101Hz  105.0dB   76l +  41l  * 1x70mm   1195mm
 25.7Hz  52Hz  104Hz  106.6dB   67l +  41l  * 1x70mm   1065mm
 28.1Hz  55Hz  106Hz  108.2dB   58l +  41l  * 1x70mm    949mm
 30.8Hz  58Hz  109Hz  109.8dB   51l +  41l  * 1x70mm    846mm
 33.6Hz  61Hz  111Hz  111.4dB   45l +  41l  * 1x70mm    754mm
 36.7Hz  65Hz  115Hz  112.9dB   40l +  41l  * 1x70mm    672mm
 40.1Hz  69Hz  118Hz  114.4dB   35l +  41l  * 1x70mm    599mm
 43.6Hz  73Hz  121Hz  115.9dB   31l +  41l  * 1x70mm    534mm
 47.5Hz  77Hz  125Hz  117.3dB   27l +  41l  * 1x70mm    476mm
 51.6Hz  82Hz  129Hz  118.8dB   24l +  41l  * 1x70mm    424mm
 55.9Hz  87Hz  134Hz  120.2dB   21l +  41l  - 1x100mm   771mm
 60.6Hz  92Hz  138Hz  121.6dB   19l +  41l  - 1x100mm   687mm
 65.7Hz  97Hz  144Hz  123.0dB   17l +  41l  - 1x100mm   613mm
-------------
13WX
            90.9dB           175W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 19.4Hz  40Hz   84Hz   99.3dB  203l +  25l  * 1x70mm   2886mm
