-------------
S21 L1000
            98.0dB          1000W      4x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 68.2Hz  98Hz  149Hz  107.1dB   14l +  11l  - 1x50mm    561mm
 73.8Hz 107Hz  155Hz  108.5dB   10l +  11l  - 1x50mm    476mm
 79.8Hz 113Hz  161Hz  109.8dB    9l +  11l  - 1x50mm    424mm
 86.1Hz 120Hz  167Hz  111.1dB    7l +  11l    1x70mm    741mm
 92.8Hz 127Hz  174Hz  112.4dB    6l +  11l    1x70mm    660mm
 24.3Hz  59Hz  105Hz   89.2dB  -57l +   8l  * 1x40mm   1360mm
 26.7Hz  62Hz  108Hz   90.8dB  -87l +   8l  * 1x40mm   1212mm
 29.2Hz  66Hz  110Hz   92.4dB -214l +   8l  * 1x40mm   1080mm
 32.0Hz  70Hz  113Hz   93.9dB  335l +   8l  * 1x40mm    963mm
 35.0Hz  74Hz  116Hz   95.5dB   86l +   8l  * 1x40mm    858mm
 38.2Hz  79Hz  119Hz   97.0dB   47l +   8l  * 1x40mm    764mm
 41.6Hz  83Hz  122Hz   98.5dB   31l +   8l  * 1x40mm    681mm
 45.4Hz  88Hz  126Hz  100.0dB   23l +   8l  * 1x40mm    607mm
 49.3Hz  93Hz  130Hz  101.5dB   17l +   8l  * 1x40mm    541mm
 53.6Hz  99Hz  134Hz  102.9dB   14l +   8l  - 1x50mm    754mm
 58.2Hz 105Hz  139Hz  104.3dB   11l +   8l  - 1x50mm    672mm
 63.0Hz  95Hz  144Hz  105.7dB   16l +   8l  * 1x40mm    522mm
 68.2Hz  98Hz  149Hz  107.1dB   14l +   8l  - 1x50mm    763mm
 73.8Hz 107Hz  155Hz  108.5dB   10l +   8l  - 1x50mm    647mm
 68.6Hz 113Hz  161Hz  107.2dB    9l +   8l  - 1x50mm    577mm
 74.9Hz 120Hz  167Hz  108.7dB    7l +   8l  - 1x50mm    514mm
 92.8Hz 127Hz  174Hz  112.4dB    6l +   8l  - 1x50mm    458mm
 29.2Hz  71Hz  172Hz   92.3dB  229l +   6l  * 1x40mm   1359mm
 32.2Hz  75Hz  175Hz   94.0dB   76l +   6l  * 1x40mm   1212mm
 35.4Hz  79Hz  178Hz   95.7dB   44l +   6l  * 1x40mm   1080mm
 39.0Hz  84Hz  182Hz   97.4dB   29l +   6l  * 1x40mm    963mm
 42.8Hz  89Hz  185Hz   99.0dB   22l +   6l  * 1x40mm    858mm
 47.0Hz  94Hz  190Hz  100.6dB   17l +   6l  * 1x40mm    765mm
 51.5Hz 100Hz  194Hz  102.2dB   13l +   6l  * 1x40mm    681mm
 56.4Hz 106Hz  199Hz  103.8dB   11l +   6l  * 1x40mm    607mm
 61.6Hz 112Hz  204Hz  105.3dB    9l +   6l  * 1x40mm    541mm
 67.3Hz 119Hz  210Hz  106.8dB    7l +   6l  - 1x50mm    754mm
 73.4Hz 126Hz  216Hz  108.4dB    6l +   6l  - 1x50mm    672mm
 79.9Hz 133Hz  222Hz  109.8dB    5l +   6l  - 1x50mm    599mm
 86.9Hz 141Hz  229Hz  111.3dB    5l +   6l  - 1x50mm    534mm
 94.4Hz 150Hz  237Hz  112.7dB    4l +   6l  - 1x50mm    476mm
102.5Hz 158Hz  245Hz  114.2dB    3l +   6l  - 1x50mm    424mm
111.1Hz 168Hz  254Hz  115.6dB    3l +   6l    1x70mm    740mm
120.3Hz 178Hz  263Hz  116.9dB    3l +   6l    1x70mm    660mm
-------------
10204
            96.0dB           150W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 22.5Hz  47Hz   97Hz   92.0dB -111l +  21l  * 1x50mm   1308mm
 24.7Hz  50Hz   99Hz   93.6dB -151l +  21l  * 1x50mm   1166mm
 27.0Hz  52Hz  102Hz   95.2dB -251l +  21l  * 1x50mm   1039mm
 29.6Hz  56Hz  104Hz   96.8dB -975l +  21l  * 1x50mm    926mm
 32.3Hz  59Hz  107Hz   98.3dB  432l +  21l  * 1x50mm    825mm
 35.3Hz  62Hz  110Hz   99.9dB  165l +  21l  * 1x50mm    736mm
 38.5Hz  66Hz  113Hz  101.4dB   98l +  21l  * 1x50mm    656mm
 41.9Hz  70Hz  117Hz  102.9dB   67l +  21l  * 1x50mm    584mm
 45.6Hz  74Hz  120Hz  104.3dB   49l +  21l  * 1x50mm    521mm
 49.6Hz  78Hz  124Hz  105.8dB   38l +  21l  * 1x50mm    464mm
 53.8Hz  83Hz  129Hz  107.2dB   30l +  21l  * 1x50mm    414mm
 58.3Hz  88Hz  133Hz  108.6dB   25l +  21l  - 1x70mm    723mm
 63.1Hz  91Hz  138Hz  110.0dB   22l +  21l  - 1x70mm    677mm
 68.3Hz  99Hz  143Hz  111.3dB   17l +  21l  - 1x70mm    574mm
 73.8Hz 105Hz  149Hz  112.7dB   15l +  21l  - 1x70mm    512mm
 79.6Hz 111Hz  154Hz  114.0dB   12l +  21l  - 1x70mm    456mm
 85.9Hz 117Hz  161Hz  115.3dB   11l +  21l  - 1x70mm    406mm
 22.5Hz  55Hz   97Hz   92.0dB -496l +  15l  * 1x50mm   1308mm
 24.7Hz  58Hz   99Hz   93.6dB  834l +  15l  * 1x50mm   1166mm
 27.0Hz  61Hz  102Hz   95.2dB  208l +  15l  * 1x50mm   1039mm
 29.6Hz  65Hz  104Hz   96.8dB  113l +  15l  * 1x50mm    926mm
 32.3Hz  69Hz  107Hz   98.3dB   75l +  15l  * 1x50mm    826mm
 35.3Hz  73Hz  110Hz   99.9dB   54l +  15l  * 1x50mm    736mm
 38.5Hz  77Hz  113Hz  101.4dB   41l +  15l  * 1x50mm    656mm
 41.9Hz  82Hz  117Hz  102.9dB   33l +  15l  * 1x50mm    584mm
 45.6Hz  86Hz  120Hz  104.3dB   26l +  15l  * 1x50mm    521mm
 49.6Hz  92Hz  124Hz  105.8dB   22l +  15l  * 1x50mm    464mm
 53.8Hz  97Hz  129Hz  107.2dB   18l +  15l  * 1x50mm    414mm
 58.3Hz  88Hz  133Hz  108.6dB   25l +  15l  * 1x50mm    502mm
 63.1Hz  91Hz  138Hz  110.0dB   22l +  15l  * 1x50mm    470mm
 68.3Hz  99Hz  143Hz  111.3dB   17l +  15l  - 1x70mm    781mm
 63.4Hz 105Hz  149Hz  110.0dB   15l +  15l  - 1x70mm    696mm
 69.2Hz 111Hz  154Hz  111.6dB   12l +  15l  - 1x70mm    621mm
 85.9Hz 117Hz  161Hz  115.3dB   11l +  15l  - 1x70mm    553mm
 27.0Hz  65Hz  159Hz   95.2dB  105l +  11l  * 1x50mm   1308mm
 29.7Hz  69Hz  162Hz   96.9dB   71l +  11l  * 1x50mm   1166mm
 32.8Hz  73Hz  165Hz   98.6dB   52l +  11l  * 1x50mm   1039mm
 36.0Hz  78Hz  168Hz  100.2dB   40l +  11l  * 1x50mm    926mm
 39.6Hz  82Hz  171Hz  101.9dB   32l +  11l  * 1x50mm    826mm
 43.5Hz  87Hz  175Hz  103.5dB   26l +  11l  * 1x50mm    736mm
 47.6Hz  92Hz  179Hz  105.1dB   21l +  11l  * 1x50mm    656mm
 52.1Hz  98Hz  184Hz  106.6dB   18l +  11l  * 1x50mm    584mm
 57.0Hz 104Hz  189Hz  108.2dB   15l +  11l  * 1x50mm    521mm
 62.2Hz 110Hz  194Hz  109.7dB   13l +  11l  * 1x50mm    464mm
 67.8Hz 116Hz  200Hz  111.2dB   11l +  11l  * 1x50mm    414mm
 73.9Hz 123Hz  206Hz  112.7dB    9l +  11l  - 1x70mm    723mm
 80.4Hz 131Hz  212Hz  114.2dB    8l +  11l  - 1x70mm    644mm
 87.3Hz 138Hz  219Hz  115.6dB    7l +  11l  - 1x70mm    574mm
 94.8Hz 147Hz  227Hz  117.0dB    6l +  11l  - 1x70mm    512mm
102.7Hz 155Hz  235Hz  118.4dB    5l +  11l  - 1x70mm    456mm
