-------------
da175-8
            86.0dB            50W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 25.9Hz  37Hz   57Hz  110.7dB  109l + 117l  * 1x70mm    709mm
 28.0Hz  41Hz   59Hz  112.0dB   87l + 117l  * 1x70mm    601mm
 30.3Hz  43Hz   61Hz  113.4dB   75l + 117l  * 1x70mm    536mm
 32.7Hz  46Hz   63Hz  114.7dB   65l + 117l  * 1x70mm    478mm
 35.2Hz  48Hz   66Hz  116.0dB   56l + 117l  * 1x70mm    426mm
  9.2Hz  22Hz   40Hz   92.7dB 1068l +  86l  * 1x70mm   2685mm
 10.1Hz  24Hz   41Hz   94.4dB  665l +  86l  * 1x70mm   2393mm
 11.1Hz  25Hz   42Hz   95.9dB  468l +  86l  * 1x70mm   2133mm
 12.1Hz  27Hz   43Hz   97.5dB  351l +  86l  * 1x70mm   1901mm
 13.3Hz  28Hz   44Hz   99.1dB  274l +  86l  * 1x70mm   1694mm
 14.5Hz  30Hz   45Hz  100.6dB  220l +  86l  * 1x70mm   1510mm
 15.8Hz  32Hz   46Hz  102.1dB  180l +  86l  * 1x70mm   1346mm
 17.2Hz  33Hz   48Hz  103.6dB  150l +  86l  * 1x70mm   1200mm
 18.7Hz  35Hz   49Hz  105.0dB  126l +  86l  * 1x70mm   1069mm
 20.3Hz  38Hz   51Hz  106.5dB  107l +  86l  * 1x70mm    953mm
 22.1Hz  40Hz   53Hz  107.9dB   91l +  86l  * 1x70mm    849mm
 23.9Hz  36Hz   55Hz  109.3dB  119l +  86l  * 1x70mm   1030mm
 25.9Hz  37Hz   57Hz  110.7dB  109l +  86l  * 1x70mm    965mm
 28.0Hz  41Hz   59Hz  112.0dB   87l +  86l  * 1x70mm    818mm
 26.0Hz  43Hz   61Hz  110.8dB   75l +  86l  * 1x70mm    729mm
 28.4Hz  46Hz   63Hz  112.3dB   65l +  86l  * 1x70mm    650mm
 35.2Hz  48Hz   66Hz  116.0dB   56l +  86l  * 1x70mm    579mm
 11.1Hz  27Hz   65Hz   95.9dB  336l +  60l  * 1x70mm   2685mm
