-------------
raptor12
            87.0dB          1000W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 39.8Hz  73Hz  100Hz  109.2dB   15l +  15l  * 1x50mm    752mm
 43.2Hz  78Hz  103Hz  110.6dB   13l +  15l  * 1x50mm    670mm
 46.8Hz  71Hz  107Hz  112.0dB   17l +  15l  * 1x50mm    813mm
 50.7Hz  73Hz  111Hz  113.4dB   16l +  15l  * 1x50mm    762mm
 54.8Hz  79Hz  115Hz  114.7dB   13l +  15l  * 1x50mm    646mm
 50.9Hz  84Hz  119Hz  113.4dB   11l +  15l  * 1x50mm    576mm
 55.6Hz  89Hz  124Hz  115.0dB   10l +  15l  * 1x50mm    513mm
 68.9Hz  94Hz  129Hz  118.7dB    9l +  15l  * 1x50mm    457mm
 21.6Hz  53Hz  127Hz   98.6dB   36l +  10l  * 1x50mm   2119mm
 23.9Hz  56Hz  130Hz  100.3dB   31l +  10l  * 1x50mm   1889mm
 26.3Hz  59Hz  132Hz  102.0dB   27l +  10l  * 1x50mm   1684mm
 28.9Hz  62Hz  135Hz  103.6dB   23l +  10l  * 1x50mm   1501mm
 31.8Hz  66Hz  138Hz  105.3dB   20l +  10l  * 1x50mm   1338mm
 34.9Hz  70Hz  141Hz  106.9dB   17l +  10l  * 1x50mm   1192mm
 38.2Hz  74Hz  144Hz  108.5dB   15l +  10l  * 1x50mm   1062mm
 41.8Hz  79Hz  148Hz  110.0dB   13l +  10l  * 1x50mm    947mm
 45.7Hz  83Hz  152Hz  111.6dB   11l +  10l  * 1x50mm    844mm
 49.9Hz  88Hz  156Hz  113.1dB   10l +  10l  * 1x50mm    752mm
 54.4Hz  93Hz  160Hz  114.6dB    9l +  10l  * 1x50mm    670mm
 59.3Hz  99Hz  165Hz  116.1dB    8l +  10l  * 1x50mm    597mm
 64.5Hz 105Hz  170Hz  117.5dB    7l +  10l  * 1x50mm    532mm
 70.1Hz 111Hz  176Hz  119.0dB    6l +  10l  * 1x50mm    475mm
 76.0Hz 118Hz  182Hz  120.4dB    5l +  10l  * 1x50mm    423mm
 82.4Hz 125Hz  188Hz  121.8dB    5l +  10l  - 1x70mm    739mm
 89.3Hz 132Hz  195Hz  123.2dB    4l +  10l  - 1x70mm    658mm
