-------------
W160al
            87.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
152.7Hz 236Hz  365Hz  113.2dB    1l +   1l  - 1x40mm    521mm
165.5Hz 250Hz  378Hz  114.6dB    1l +   1l    1x50mm    725mm
179.2Hz 265Hz  392Hz  115.9dB    1l +   1l    1x50mm    646mm
-------------
axt06
            89.6dB            10W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 29.9Hz  62Hz  130Hz   90.5dB   24l +   4l  * 1x40mm   2260mm
 32.9Hz  66Hz  132Hz   92.1dB   19l +   4l  * 1x40mm   2014mm
 36.0Hz  70Hz  136Hz   93.7dB   15l +   4l  * 1x40mm   1795mm
 39.4Hz  74Hz  139Hz   95.2dB   12l +   4l  * 1x40mm   1600mm
 43.1Hz  78Hz  143Hz   96.8dB   10l +   4l  * 1x40mm   1426mm
 47.0Hz  83Hz  147Hz   98.3dB    9l +   4l  * 1x40mm   1271mm
 51.3Hz  88Hz  151Hz   99.8dB    7l +   4l  * 1x40mm   1133mm
 55.9Hz  93Hz  155Hz  101.3dB    6l +   4l  * 1x40mm   1010mm
 60.8Hz  99Hz  160Hz  102.8dB    5l +   4l  * 1x40mm    900mm
 66.0Hz 105Hz  166Hz  104.2dB    5l +   4l  * 1x40mm    802mm
 71.6Hz 111Hz  171Hz  105.6dB    4l +   4l  * 1x40mm    715mm
 77.6Hz 117Hz  177Hz  107.0dB    4l +   4l  * 1x40mm    637mm
 84.1Hz 121Hz  184Hz  108.4dB    3l +   4l  * 1x40mm    597mm
 90.9Hz 132Hz  190Hz  109.8dB    3l +   4l  - 1x50mm    791mm
 98.3Hz 139Hz  198Hz  111.1dB    2l +   4l  - 1x50mm    705mm
106.0Hz 148Hz  206Hz  112.4dB    2l +   4l  - 1x50mm    628mm
114.4Hz 156Hz  214Hz  113.7dB    2l +   4l  - 1x50mm    560mm
 29.9Hz  73Hz  130Hz   90.5dB   13l +   3l  * 1x40mm   2260mm
 32.9Hz  77Hz  132Hz   92.1dB   11l +   3l  * 1x40mm   2014mm
 36.0Hz  82Hz  136Hz   93.7dB    9l +   3l  * 1x40mm   1795mm
 39.4Hz  86Hz  139Hz   95.2dB    8l +   3l  * 1x40mm   1600mm
 43.1Hz  91Hz  143Hz   96.8dB    7l +   3l  * 1x40mm   1426mm
 47.0Hz  97Hz  147Hz   98.3dB    6l +   3l  * 1x40mm   1271mm
 51.3Hz 103Hz  151Hz   99.8dB    5l +   3l  * 1x40mm   1133mm
 55.9Hz 109Hz  155Hz  101.3dB    4l +   3l  * 1x40mm   1010mm
 60.8Hz 115Hz  160Hz  102.8dB    4l +   3l  * 1x40mm    900mm
 66.0Hz 122Hz  166Hz  104.2dB    3l +   3l  * 1x40mm    802mm
 71.6Hz 129Hz  171Hz  105.6dB    3l +   3l  * 1x40mm    715mm
 77.6Hz 117Hz  177Hz  107.0dB    4l +   3l  * 1x40mm    867mm
 84.1Hz 121Hz  184Hz  108.4dB    3l +   3l  * 1x40mm    812mm
 90.9Hz 132Hz  190Hz  109.8dB    3l +   3l  * 1x40mm    689mm
 84.4Hz 139Hz  198Hz  108.5dB    2l +   3l  * 1x40mm    614mm
 92.2Hz 148Hz  206Hz  110.0dB    2l +   3l  * 1x40mm    547mm
114.4Hz 156Hz  214Hz  113.7dB    2l +   3l  - 1x50mm    762mm
 35.9Hz  87Hz  212Hz   93.6dB    8l +   2l  * 1x40mm   2260mm
 39.6Hz  92Hz  215Hz   95.3dB    7l +   2l  * 1x40mm   2015mm
 43.6Hz  98Hz  219Hz   97.0dB    6l +   2l  * 1x40mm   1796mm
 48.0Hz 104Hz  224Hz   98.7dB    5l +   2l  * 1x40mm   1600mm
 52.7Hz 110Hz  228Hz  100.3dB    4l +   2l  * 1x40mm   1426mm
 57.9Hz 116Hz  234Hz  101.9dB    4l +   2l  * 1x40mm   1271mm
 63.4Hz 123Hz  239Hz  103.5dB    3l +   2l  * 1x40mm   1133mm
 69.4Hz 130Hz  245Hz  105.1dB    3l +   2l  * 1x40mm   1010mm
 75.9Hz 138Hz  252Hz  106.6dB    2l +   2l  * 1x40mm    900mm
 82.9Hz 146Hz  259Hz  108.2dB    2l +   2l  * 1x40mm    802mm
 90.4Hz 155Hz  266Hz  109.7dB    2l +   2l  * 1x40mm    715mm
 98.4Hz 164Hz  274Hz  111.1dB    2l +   2l  * 1x40mm    637mm
