-------------
C104   
            87.0dB           150W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 33.8Hz  51Hz   77Hz  113.1dB   47l +  49l  * 1x70mm    909mm
 36.6Hz  53Hz   80Hz  114.4dB   43l +  49l  * 1x70mm    852mm
 39.6Hz  57Hz   83Hz  115.8dB   35l +  49l  * 1x70mm    722mm
 42.8Hz  61Hz   86Hz  117.2dB   30l +  49l  * 1x70mm    644mm
 46.2Hz  64Hz   90Hz  118.5dB   26l +  49l  * 1x70mm    574mm
 49.8Hz  68Hz   93Hz  119.8dB   23l +  49l  * 1x70mm    511mm
 13.0Hz  32Hz   56Hz   96.5dB  300l +  36l  * 1x70mm   3226mm
 14.3Hz  34Hz   58Hz   98.1dB  213l +  36l  * 1x70mm   2875mm
 15.7Hz  36Hz   59Hz   99.7dB  161l +  36l  * 1x70mm   2562mm
 17.2Hz  38Hz   61Hz  101.3dB  126l +  36l  * 1x70mm   2284mm
 18.8Hz  40Hz   62Hz  102.8dB  101l +  36l  * 1x70mm   2036mm
 20.5Hz  42Hz   64Hz  104.4dB   83l +  36l  * 1x70mm   1814mm
 22.3Hz  45Hz   66Hz  105.9dB   69l +  36l  * 1x70mm   1617mm
 24.3Hz  47Hz   68Hz  107.3dB   58l +  36l  * 1x70mm   1441mm
 26.5Hz  50Hz   70Hz  108.8dB   50l +  36l  * 1x70mm   1285mm
 28.8Hz  53Hz   72Hz  110.2dB   42l +  36l  * 1x70mm   1145mm
 31.2Hz  56Hz   75Hz  111.7dB   36l +  36l  * 1x70mm   1020mm
 33.8Hz  51Hz   77Hz  113.1dB   47l +  36l  * 1x70mm   1238mm
 36.6Hz  53Hz   80Hz  114.4dB   43l +  36l  * 1x70mm   1159mm
 39.6Hz  57Hz   83Hz  115.8dB   35l +  36l  * 1x70mm    983mm
 36.8Hz  61Hz   86Hz  114.5dB   30l +  36l  * 1x70mm    876mm
 40.2Hz  64Hz   90Hz  116.1dB   26l +  36l  * 1x70mm    781mm
 49.8Hz  68Hz   93Hz  119.8dB   23l +  36l  * 1x70mm    696mm
 15.7Hz  38Hz   92Hz   99.7dB  121l +  25l  * 1x70mm   3226mm
 17.3Hz  40Hz   94Hz  101.4dB   98l +  25l  * 1x70mm   2876mm
 19.0Hz  43Hz   96Hz  103.0dB   81l +  25l  * 1x70mm   2563mm
 20.9Hz  45Hz   97Hz  104.7dB   67l +  25l  * 1x70mm   2284mm
 23.0Hz  48Hz  100Hz  106.3dB   57l +  25l  * 1x70mm   2036mm
 25.2Hz  51Hz  102Hz  108.0dB   48l +  25l  * 1x70mm   1814mm
 27.6Hz  54Hz  104Hz  109.5dB   41l +  25l  * 1x70mm   1617mm
 30.3Hz  57Hz  107Hz  111.1dB   36l +  25l  * 1x70mm   1441mm
 33.1Hz  60Hz  110Hz  112.7dB   31l +  25l  * 1x70mm   1284mm
 36.1Hz  64Hz  113Hz  114.2dB   27l +  25l  * 1x70mm   1145mm
 39.4Hz  68Hz  116Hz  115.7dB   23l +  25l  * 1x70mm   1020mm
 42.9Hz  72Hz  119Hz  117.2dB   20l +  25l  * 1x70mm    909mm
 46.6Hz  76Hz  123Hz  118.6dB   18l +  25l  * 1x70mm    810mm
 50.7Hz  80Hz  127Hz  120.1dB   16l +  25l  * 1x70mm    722mm
 55.0Hz  85Hz  132Hz  121.5dB   14l +  25l  * 1x70mm    644mm
 59.6Hz  90Hz  136Hz  122.9dB   12l +  25l  * 1x70mm    574mm
 64.5Hz  95Hz  141Hz  124.3dB   11l +  25l  * 1x70mm    511mm
-------------
C154   
            90.0dB           250W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 11.6Hz  24Hz   50Hz  100.2dB 1136l +  87l  * 1x70mm   2264mm
 12.7Hz  26Hz   51Hz  101.8dB  696l +  87l  * 1x70mm   2018mm
 14.0Hz  27Hz   53Hz  103.4dB  485l +  87l  * 1x70mm   1798mm
 15.3Hz  29Hz   54Hz  105.0dB  362l +  87l  * 1x70mm   1603mm
 16.7Hz  30Hz   55Hz  106.5dB  282l +  87l  * 1x70mm   1429mm
 18.2Hz  32Hz   57Hz  108.1dB  226l +  87l  * 1x70mm   1273mm
 19.9Hz  34Hz   59Hz  109.6dB  185l +  87l  * 1x70mm   1135mm
 21.7Hz  36Hz   60Hz  111.1dB  153l +  87l  * 1x70mm   1011mm
 23.6Hz  38Hz   62Hz  112.5dB  129l +  87l  * 1x70mm    901mm
 25.6Hz  41Hz   64Hz  114.0dB  109l +  87l  * 1x70mm    803mm
 27.8Hz  43Hz   66Hz  115.4dB   93l +  87l  * 1x70mm    716mm
