-------------
AWM104
            88.0dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 34.3Hz  57Hz   95Hz  114.3dB   99l +  67l  * 1x100mm  1071mm
 37.3Hz  61Hz   98Hz  115.7dB   85l +  67l  * 1x100mm   954mm
 40.5Hz  64Hz  102Hz  117.2dB   74l +  67l  * 1x100mm   850mm
 44.0Hz  68Hz  105Hz  118.6dB   64l +  67l  * 1x100mm   758mm
 47.7Hz  72Hz  109Hz  120.0dB   56l +  67l  * 1x100mm   675mm
 51.6Hz  74Hz  113Hz  121.4dB   52l +  67l  * 1x100mm   633mm
 55.9Hz  81Hz  117Hz  122.7dB   43l +  67l  * 1x100mm   537mm
 60.4Hz  86Hz  122Hz  124.1dB   38l +  67l  * 1x100mm   478mm
 65.1Hz  91Hz  126Hz  125.4dB   33l +  67l  * 1x100mm   426mm
 70.2Hz  96Hz  131Hz  126.7dB   29l +  67l  - 2x100mm   755mm
 18.4Hz  45Hz   80Hz  103.4dB  205l +  49l  * 1x100mm  2397mm
 20.2Hz  47Hz   81Hz  105.1dB  170l +  49l  * 1x100mm  2136mm
 22.1Hz  50Hz   83Hz  106.6dB  143l +  49l  * 1x100mm  1903mm
 24.2Hz  53Hz   85Hz  108.2dB  122l +  49l  * 1x100mm  1697mm
 26.5Hz  56Hz   88Hz  109.8dB  104l +  49l  * 1x100mm  1512mm
 28.9Hz  60Hz   90Hz  111.3dB   90l +  49l  * 1x100mm  1348mm
 31.5Hz  63Hz   93Hz  112.8dB   77l +  49l  * 1x100mm  1201mm
 34.3Hz  67Hz   95Hz  114.3dB   67l +  49l  * 1x100mm  1071mm
 37.3Hz  71Hz   98Hz  115.7dB   59l +  49l  * 1x100mm   954mm
 40.5Hz  75Hz  102Hz  117.2dB   51l +  49l  * 1x100mm   850mm
 44.0Hz  79Hz  105Hz  118.6dB   45l +  49l  * 1x100mm   758mm
 47.7Hz  72Hz  109Hz  120.0dB   56l +  49l  * 1x100mm   919mm
 51.6Hz  74Hz  113Hz  121.4dB   52l +  49l  * 1x100mm   861mm
 55.9Hz  81Hz  117Hz  122.7dB   43l +  49l  * 1x100mm   730mm
 51.9Hz  86Hz  122Hz  121.5dB   38l +  49l  * 1x100mm   651mm
 56.7Hz  91Hz  126Hz  123.0dB   33l +  49l  * 1x100mm   580mm
 70.2Hz  96Hz  131Hz  126.7dB   29l +  49l  * 1x100mm   517mm
 22.1Hz  54Hz  130Hz  106.6dB  119l +  34l  * 1x100mm  2396mm
 24.3Hz  57Hz  132Hz  108.3dB  102l +  34l  * 1x100mm  2136mm
 26.8Hz  60Hz  135Hz  110.0dB   87l +  34l  * 1x100mm  1904mm
 29.5Hz  64Hz  137Hz  111.6dB   76l +  34l  * 1x100mm  1697mm
 32.4Hz  67Hz  140Hz  113.3dB   66l +  34l  * 1x100mm  1512mm
 35.6Hz  71Hz  143Hz  114.9dB   57l +  34l  * 1x100mm  1348mm
 39.0Hz  76Hz  147Hz  116.5dB   50l +  34l  * 1x100mm  1201mm
 42.6Hz  80Hz  151Hz  118.1dB   44l +  34l  * 1x100mm  1070mm
