-------------
Aura_NSW1_205_8A
            78.0dB             5W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
Aura_NSW2_326_8A
            84.0dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
Aura_NS3_193_8A
            80.0dB            20W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 17.5Hz  36Hz   76Hz   98.0dB   94l +  14l  * 1x50mm   3258mm
 19.2Hz  39Hz   77Hz   99.6dB   70l +  14l  * 1x50mm   2904mm
 21.0Hz  41Hz   79Hz  101.2dB   55l +  14l  * 1x50mm   2588mm
 23.0Hz  43Hz   81Hz  102.8dB   44l +  14l  * 1x50mm   2307mm
 25.2Hz  46Hz   83Hz  104.3dB   36l +  14l  * 1x50mm   2056mm
 27.5Hz  49Hz   86Hz  105.8dB   30l +  14l  * 1x50mm   1832mm
 30.0Hz  51Hz   88Hz  107.3dB   25l +  14l  * 1x50mm   1633mm
 32.7Hz  54Hz   91Hz  108.8dB   21l +  14l  * 1x50mm   1455mm
 35.5Hz  58Hz   94Hz  110.3dB   18l +  14l  * 1x50mm   1297mm
 38.6Hz  61Hz   97Hz  111.7dB   16l +  14l  * 1x50mm   1156mm
 41.9Hz  65Hz  100Hz  113.1dB   14l +  14l  * 1x50mm   1030mm
 45.4Hz  69Hz  104Hz  114.5dB   12l +  14l  * 1x50mm    918mm
 49.1Hz  71Hz  107Hz  115.9dB   11l +  14l  * 1x50mm    860mm
 53.2Hz  77Hz  111Hz  117.3dB    9l +  14l  * 1x50mm    729mm
 57.4Hz  81Hz  116Hz  118.6dB    8l +  14l  * 1x50mm    650mm
 62.0Hz  86Hz  120Hz  120.0dB    7l +  14l  * 1x50mm    579mm
 66.8Hz  91Hz  125Hz  121.3dB    6l +  14l  * 1x50mm    516mm
 17.5Hz  42Hz   76Hz   98.0dB   47l +  10l  * 1x50mm   3258mm
 19.2Hz  45Hz   77Hz   99.6dB   38l +  10l  * 1x50mm   2903mm
 21.0Hz  48Hz   79Hz  101.2dB   32l +  10l  * 1x50mm   2588mm
 23.0Hz  50Hz   81Hz  102.8dB   27l +  10l  * 1x50mm   2307mm
 25.2Hz  53Hz   83Hz  104.3dB   23l +  10l  * 1x50mm   2056mm
 27.5Hz  57Hz   86Hz  105.8dB   19l +  10l  * 1x50mm   1832mm
 30.0Hz  60Hz   88Hz  107.3dB   16l +  10l  * 1x50mm   1633mm
 32.7Hz  64Hz   91Hz  108.8dB   14l +  10l  * 1x50mm   1455mm
 35.5Hz  67Hz   94Hz  110.3dB   12l +  10l  * 1x50mm   1297mm
 38.6Hz  71Hz   97Hz  111.7dB   11l +  10l  * 1x50mm   1156mm
 41.9Hz  76Hz  100Hz  113.1dB    9l +  10l  * 1x50mm   1030mm
 45.4Hz  69Hz  104Hz  114.5dB   12l +  10l  * 1x50mm   1250mm
 49.1Hz  71Hz  107Hz  115.9dB   11l +  10l  * 1x50mm   1171mm
 53.2Hz  77Hz  111Hz  117.3dB    9l +  10l  * 1x50mm    993mm
 49.4Hz  81Hz  116Hz  116.0dB    8l +  10l  * 1x50mm    885mm
 53.9Hz  86Hz  120Hz  117.5dB    7l +  10l  * 1x50mm    789mm
 66.8Hz  91Hz  125Hz  121.3dB    6l +  10l  * 1x50mm    703mm
 21.0Hz  51Hz  124Hz  101.2dB   26l +   7l  * 1x50mm   3258mm
 23.2Hz  54Hz  126Hz  102.9dB   22l +   7l  * 1x50mm   2904mm
 25.5Hz  57Hz  128Hz  104.5dB   19l +   7l  * 1x50mm   2588mm
 28.1Hz  61Hz  131Hz  106.2dB   16l +   7l  * 1x50mm   2307mm
 30.8Hz  64Hz  133Hz  107.8dB   14l +   7l  * 1x50mm   2056mm
 33.8Hz  68Hz  136Hz  109.4dB   12l +   7l  * 1x50mm   1832mm
 37.1Hz  72Hz  140Hz  111.0dB   10l +   7l  * 1x50mm   1633mm
 40.6Hz  76Hz  143Hz  112.6dB    9l +   7l  * 1x50mm   1455mm
 44.4Hz  81Hz  147Hz  114.1dB    8l +   7l  * 1x50mm   1297mm
 48.4Hz  86Hz  151Hz  115.7dB    7l +   7l  * 1x50mm   1156mm
 52.8Hz  91Hz  155Hz  117.2dB    6l +   7l  * 1x50mm   1030mm
 57.5Hz  96Hz  160Hz  118.7dB    5l +   7l  * 1x50mm    918mm
 62.6Hz 102Hz  165Hz  120.1dB    5l +   7l  * 1x50mm    818mm
 68.0Hz 108Hz  171Hz  121.6dB    4l +   7l  * 1x50mm    729mm
 73.8Hz 114Hz  176Hz  123.0dB    4l +   7l  * 1x50mm    650mm
 80.0Hz 121Hz  183Hz  124.4dB    3l +   7l  * 1x50mm    579mm
-------------
Aura_NS10_794_4A
            83.0dB           400W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
