-------------
LAT250 4/4
            91.0dB           100W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 13.3Hz  31Hz   53Hz   93.2dB  348l +  29l  * 1x70mm   4069mm
 14.5Hz  33Hz   55Hz   94.8dB  211l +  29l  * 1x70mm   3627mm
 15.9Hz  35Hz   56Hz   96.4dB  147l +  29l  * 1x70mm   3233mm
 17.4Hz  37Hz   58Hz   97.9dB  109l +  29l  * 1x70mm   2882mm
 19.0Hz  39Hz   59Hz   99.5dB   85l +  29l  * 1x70mm   2568mm
 20.7Hz  41Hz   61Hz  101.0dB   68l +  29l  * 1x70mm   2289mm
 22.6Hz  44Hz   63Hz  102.4dB   56l +  29l  * 1x70mm   2040mm
 24.5Hz  47Hz   65Hz  103.9dB   46l +  29l  * 1x70mm   1818mm
 26.7Hz  49Hz   67Hz  105.3dB   39l +  29l  * 1x70mm   1620mm
 28.9Hz  52Hz   69Hz  106.8dB   33l +  29l  * 1x70mm   1444mm
 31.4Hz  47Hz   72Hz  108.2dB   43l +  29l  * 1x70mm   1752mm
 34.0Hz  49Hz   74Hz  109.5dB   39l +  29l  * 1x70mm   1641mm
 36.7Hz  53Hz   77Hz  110.9dB   31l +  29l  * 1x70mm   1392mm
 34.1Hz  56Hz   80Hz  109.6dB   27l +  29l  * 1x70mm   1240mm
 37.3Hz  60Hz   83Hz  111.2dB   23l +  29l  * 1x70mm   1105mm
 46.2Hz  63Hz   86Hz  114.9dB   20l +  29l  * 1x70mm    985mm
 14.5Hz  35Hz   85Hz   94.8dB  139l +  20l  * 1x70mm   4566mm
 16.0Hz  37Hz   87Hz   96.5dB  105l +  20l  * 1x70mm   4071mm
 17.6Hz  40Hz   89Hz   98.2dB   82l +  20l  * 1x70mm   3628mm
 19.4Hz  42Hz   90Hz   99.8dB   66l +  20l  * 1x70mm   3233mm
 21.3Hz  44Hz   92Hz  101.4dB   54l +  20l  * 1x70mm   2882mm
 23.4Hz  47Hz   94Hz  103.1dB   45l +  20l  * 1x70mm   2568mm
 25.6Hz  50Hz   97Hz  104.7dB   38l +  20l  * 1x70mm   2289mm
 28.0Hz  53Hz   99Hz  106.2dB   32l +  20l  * 1x70mm   2040mm
 30.7Hz  56Hz  102Hz  107.8dB   27l +  20l  * 1x70mm   1818mm
 33.5Hz  59Hz  104Hz  109.3dB   23l +  20l  * 1x70mm   1620mm
 36.5Hz  63Hz  107Hz  110.8dB   20l +  20l  * 1x70mm   1444mm
 39.8Hz  66Hz  111Hz  112.3dB   18l +  20l  * 1x70mm   1287mm
 43.2Hz  70Hz  114Hz  113.7dB   15l +  20l  * 1x70mm   1147mm
 47.0Hz  74Hz  118Hz  115.2dB   13l +  20l  * 1x70mm   1022mm
 51.0Hz  79Hz  122Hz  116.6dB   12l +  20l  * 1x70mm    911mm
 55.3Hz  84Hz  126Hz  118.0dB   10l +  20l  * 1x70mm    812mm
 59.8Hz  88Hz  131Hz  119.4dB    9l +  20l  * 1x70mm    724mm
-------------
LAT700 16/16
            86.0dB           500W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 15.2Hz  25Hz   42Hz  101.0dB 4511l +  96l  * 1x70mm   1884mm
 16.5Hz  27Hz   44Hz  102.4dB  736l +  96l  * 1x70mm   1679mm
 17.9Hz  28Hz   45Hz  103.9dB  380l +  96l  * 1x70mm   1497mm
 19.5Hz  30Hz   46Hz  105.3dB  246l +  96l  * 1x70mm   1334mm
 21.1Hz  32Hz   48Hz  106.7dB  176l +  96l  * 1x70mm   1189mm
 22.8Hz  33Hz   50Hz  108.1dB  150l +  96l  * 1x70mm   1113mm
 24.7Hz  36Hz   52Hz  109.4dB  105l +  96l  * 1x70mm    944mm
 26.7Hz  38Hz   54Hz  110.8dB   85l +  96l  * 1x70mm    842mm
 28.8Hz  40Hz   56Hz  112.1dB   70l +  96l  * 1x70mm    750mm
 31.1Hz  42Hz   58Hz  113.4dB   58l +  96l  * 1x70mm    669mm
 12.8Hz  26Hz   40Hz   98.0dB 1021l +  70l  * 1x70mm   2372mm
 13.9Hz  28Hz   41Hz   99.5dB  453l +  70l  * 1x70mm   2114mm
 15.2Hz  30Hz   42Hz  101.0dB  279l +  70l  * 1x70mm   1884mm
 16.5Hz  31Hz   44Hz  102.4dB  195l +  70l  * 1x70mm   1679mm
 17.9Hz  33Hz   45Hz  103.9dB  146l +  70l  * 1x70mm   1497mm
 19.5Hz  35Hz   46Hz  105.3dB  113l +  70l  * 1x70mm   1334mm
 21.1Hz  32Hz   48Hz  106.7dB  176l +  70l  * 1x70mm   1618mm
 22.8Hz  33Hz   50Hz  108.1dB  150l +  70l  * 1x70mm   1516mm
 24.7Hz  36Hz   52Hz  109.4dB  105l +  70l  * 1x70mm   1285mm
 22.9Hz  38Hz   54Hz  108.1dB   85l +  70l  * 1x70mm   1145mm
