-------------
M5N
            82.0dB            35W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 35.0Hz  66Hz  123Hz   86.2dB   15l +   3l  + 1x40mm   2786mm
 38.2Hz  70Hz  127Hz   87.7dB   11l +   3l  + 1x40mm   2483mm
 41.7Hz  74Hz  130Hz   89.3dB    9l +   3l  + 1x40mm   2213mm
 45.5Hz  78Hz  134Hz   90.8dB    7l +   3l  + 1x40mm   1972mm
 49.6Hz  83Hz  138Hz   92.2dB    6l +   3l  + 1x40mm   1758mm
 53.9Hz  88Hz  142Hz   93.7dB    5l +   3l  + 1x40mm   1566mm
 58.6Hz  93Hz  147Hz   95.1dB    4l +   3l  + 1x40mm   1396mm
 63.6Hz  98Hz  152Hz   96.6dB    3l +   3l  + 1x40mm   1244mm
 68.9Hz 104Hz  157Hz   98.0dB    3l +   3l  + 1x40mm   1109mm
 74.6Hz 108Hz  163Hz   99.3dB    3l +   3l  + 1x40mm   1039mm
 80.7Hz 117Hz  169Hz  100.7dB    2l +   3l  + 1x40mm    881mm
 87.2Hz 124Hz  176Hz  102.0dB    2l +   3l  - 1x40mm    785mm
 94.1Hz 131Hz  182Hz  103.4dB    2l +   3l  - 1x40mm    700mm
101.5Hz 139Hz  190Hz  104.7dB    1l +   3l  - 1x40mm    624mm
 26.6Hz  64Hz  115Hz   81.4dB   17l +   2l  + 1x40mm   3935mm
 29.2Hz  68Hz  118Hz   83.0dB   12l +   2l  + 1x40mm   3506mm
 32.0Hz  72Hz  120Hz   84.6dB   10l +   2l  + 1x40mm   3125mm
 35.0Hz  77Hz  123Hz   86.2dB    8l +   2l  + 1x40mm   2786mm
 38.2Hz  81Hz  127Hz   87.7dB    6l +   2l  + 1x40mm   2483mm
 41.7Hz  86Hz  130Hz   89.3dB    5l +   2l  + 1x40mm   2213mm
 45.5Hz  91Hz  134Hz   90.8dB    4l +   2l  + 1x40mm   1972mm
 49.6Hz  96Hz  138Hz   92.2dB    4l +   2l  + 1x40mm   1758mm
 53.9Hz 102Hz  142Hz   93.7dB    3l +   2l  + 1x40mm   1567mm
 58.6Hz 108Hz  147Hz   95.1dB    3l +   2l  + 1x40mm   1396mm
