-------------
hm130c0
            88.0dB            50W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 33.0Hz  68Hz  103Hz   97.2dB   20l +  12l  * 1x40mm    679mm
 36.0Hz  72Hz  106Hz   98.7dB   18l +  12l  * 1x40mm    605mm
 39.2Hz  76Hz  109Hz  100.2dB   16l +  12l  * 1x40mm    540mm
 42.6Hz  81Hz  112Hz  101.6dB   14l +  12l  - 1x50mm    751mm
 46.3Hz  86Hz  116Hz  103.0dB   12l +  12l  - 1x50mm    670mm
 50.2Hz  91Hz  120Hz  104.5dB   11l +  12l  - 1x50mm    597mm
 54.4Hz  82Hz  124Hz  105.9dB   13l +  12l  - 1x50mm    724mm
 58.9Hz  85Hz  129Hz  107.3dB   12l +  12l  - 1x50mm    678mm
 63.8Hz  92Hz  134Hz  108.6dB   10l +  12l  - 1x50mm    575mm
 59.2Hz  98Hz  139Hz  107.3dB    9l +  12l  - 1x50mm    512mm
 64.7Hz 104Hz  144Hz  108.9dB    8l +  12l  - 1x50mm    457mm
 80.2Hz 110Hz  150Hz  112.6dB    7l +  12l    1x70mm    798mm
 25.2Hz  61Hz  148Hz   92.5dB   27l +   8l  * 1x40mm   1208mm
 27.8Hz  65Hz  151Hz   94.2dB   23l +   8l  * 1x40mm   1077mm
 30.6Hz  69Hz  154Hz   95.9dB   20l +   8l  * 1x40mm    960mm
 33.7Hz  73Hz  157Hz   97.5dB   17l +   8l  * 1x40mm    855mm
 37.0Hz  77Hz  160Hz   99.2dB   15l +   8l  * 1x40mm    762mm
 40.6Hz  82Hz  164Hz  100.8dB   13l +   8l  * 1x40mm    679mm
 44.5Hz  86Hz  168Hz  102.4dB   12l +   8l  * 1x40mm    605mm
 48.7Hz  91Hz  172Hz  103.9dB   10l +   8l  * 1x40mm    539mm
 53.2Hz  97Hz  176Hz  105.5dB    9l +   8l  - 1x50mm    751mm
 58.1Hz 103Hz  181Hz  107.0dB    8l +   8l  - 1x50mm    670mm
 63.4Hz 109Hz  186Hz  108.5dB    7l +   8l  - 1x50mm    597mm
 69.0Hz 115Hz  192Hz  110.0dB    6l +   8l  - 1x50mm    532mm
 75.0Hz 122Hz  198Hz  111.4dB    6l +   8l  - 1x50mm    474mm
 81.5Hz 129Hz  205Hz  112.9dB    5l +   8l  - 1x50mm    423mm
 88.5Hz 137Hz  212Hz  114.3dB    4l +   8l    1x70mm    738mm
 95.9Hz 145Hz  219Hz  115.7dB    4l +   8l    1x70mm    658mm
103.9Hz 154Hz  227Hz  117.1dB    3l +   8l    1x70mm    586mm
-------------
hp210z0
            88.0dB            70W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 22.1Hz  46Hz   96Hz   88.1dB   67l +  15l  * 1x40mm   1156mm
