-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
15M4831G00
            90.0dB            40W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 61.9Hz  85Hz  116Hz  111.7dB   14l +  22l    1x70mm    738mm
 19.4Hz  47Hz  114Hz   91.6dB   64l +  15l  * 1x40mm   1117mm
 21.4Hz  50Hz  116Hz   93.3dB   53l +  15l  * 1x40mm    996mm
 23.6Hz  53Hz  119Hz   95.0dB   45l +  15l  * 1x40mm    887mm
 26.0Hz  56Hz  121Hz   96.6dB   38l +  15l  * 1x40mm    791mm
 28.5Hz  59Hz  124Hz   98.3dB   32l +  15l  * 1x40mm    705mm
 31.3Hz  63Hz  126Hz   99.9dB   28l +  15l  * 1x40mm    628mm
 34.3Hz  67Hz  129Hz  101.5dB   24l +  15l  * 1x40mm    560mm
 37.5Hz  71Hz  133Hz  103.1dB   21l +  15l  - 1x50mm    780mm
 41.0Hz  75Hz  136Hz  104.6dB   18l +  15l  - 1x50mm    695mm
 44.8Hz  79Hz  140Hz  106.1dB   16l +  15l  - 1x50mm    619mm
 48.9Hz  84Hz  144Hz  107.6dB   14l +  15l  - 1x50mm    552mm
 53.2Hz  89Hz  148Hz  109.1dB   12l +  15l  - 1x50mm    492mm
 57.9Hz  94Hz  153Hz  110.6dB   11l +  15l  - 1x50mm    438mm
 62.9Hz 100Hz  158Hz  112.0dB    9l +  15l    1x70mm    766mm
 68.3Hz 106Hz  163Hz  113.4dB    8l +  15l    1x70mm    683mm
 74.0Hz 112Hz  169Hz  114.8dB    7l +  15l    1x70mm    608mm
 80.1Hz 118Hz  175Hz  116.2dB    6l +  15l    1x70mm    542mm
-------------
23W4557T00
            82.0dB           225W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 10.6Hz  20Hz   40Hz   87.8dB  954l +  22l  * 1x40mm   4088mm
 11.5Hz  22Hz   41Hz   89.4dB  262l +  22l  * 1x40mm   3644mm
 12.6Hz  23Hz   42Hz   90.9dB  144l +  22l  * 1x40mm   3247mm
 13.8Hz  24Hz   43Hz   92.5dB   96l +  22l  * 1x40mm   2894mm
 15.0Hz  26Hz   44Hz   94.0dB   70l +  22l  * 1x40mm   2579mm
 16.4Hz  27Hz   46Hz   95.5dB   53l +  22l  * 1x40mm   2299mm
 17.8Hz  29Hz   47Hz   96.9dB   42l +  22l  * 1x40mm   2049mm
 19.3Hz  31Hz   49Hz   98.4dB   34l +  22l  * 1x40mm   1826mm
 21.0Hz  32Hz   50Hz   99.8dB   28l +  22l  * 1x40mm   1628mm
 22.8Hz  34Hz   52Hz  101.2dB   24l +  22l  * 1x40mm   1451mm
 24.6Hz  36Hz   54Hz  102.6dB   21l +  22l  * 1x40mm   1359mm
 26.6Hz  39Hz   56Hz  103.9dB   17l +  22l  * 1x40mm   1152mm
 28.8Hz  41Hz   58Hz  105.3dB   14l +  22l  * 1x40mm   1027mm
 31.1Hz  43Hz   60Hz  106.6dB   12l +  22l  * 1x40mm    915mm
 33.5Hz  46Hz   63Hz  107.9dB   11l +  22l  * 1x40mm    816mm
  8.8Hz  21Hz   38Hz   84.6dB  345l +  16l  * 1x40mm   5146mm
  9.6Hz  23Hz   39Hz   86.2dB  169l +  16l  * 1x40mm   4586mm
 10.6Hz  24Hz   40Hz   87.8dB  108l +  16l  * 1x40mm   4087mm
 11.5Hz  25Hz   41Hz   89.4dB   77l +  16l  * 1x40mm   3644mm
 12.6Hz  27Hz   42Hz   90.9dB   58l +  16l  * 1x40mm   3248mm
 13.8Hz  28Hz   43Hz   92.5dB   45l +  16l  * 1x40mm   2894mm
 15.0Hz  30Hz   44Hz   94.0dB   36l +  16l  * 1x40mm   2579mm
 16.4Hz  32Hz   46Hz   95.5dB   30l +  16l  * 1x40mm   2299mm
 17.8Hz  34Hz   47Hz   96.9dB   25l +  16l  * 1x40mm   2049mm
 19.3Hz  36Hz   49Hz   98.4dB   21l +  16l  * 1x40mm   1826mm
 21.0Hz  38Hz   50Hz   99.8dB   18l +  16l  * 1x40mm   1628mm
 22.8Hz  34Hz   52Hz  101.2dB   24l +  16l  * 1x40mm   1974mm
 24.6Hz  36Hz   54Hz  102.6dB   21l +  16l  * 1x40mm   1849mm
 26.6Hz  39Hz   56Hz  103.9dB   17l +  16l  * 1x40mm   1568mm
 24.7Hz  41Hz   58Hz  102.6dB   14l +  16l  * 1x40mm   1398mm
 27.0Hz  43Hz   60Hz  104.2dB   12l +  16l  * 1x40mm   1246mm
 33.5Hz  46Hz   63Hz  107.9dB   11l +  16l  * 1x40mm   1110mm
 10.5Hz  26Hz   62Hz   87.8dB   73l +  11l  * 1x40mm   5146mm
 11.6Hz  27Hz   63Hz   89.5dB   55l +  11l  * 1x40mm   4587mm
 12.8Hz  29Hz   64Hz   91.2dB   44l +  11l  * 1x40mm   4089mm
 14.1Hz  30Hz   66Hz   92.8dB   35l +  11l  * 1x40mm   3643mm
 15.5Hz  32Hz   67Hz   94.5dB   29l +  11l  * 1x40mm   3247mm
 17.0Hz  34Hz   68Hz   96.1dB   24l +  11l  * 1x40mm   2894mm
 18.6Hz  36Hz   70Hz   97.7dB   20l +  11l  * 1x40mm   2579mm
 20.3Hz  38Hz   72Hz   99.2dB   17l +  11l  * 1x40mm   2299mm
 22.2Hz  40Hz   74Hz  100.8dB   15l +  11l  * 1x40mm   2049mm
 24.3Hz  43Hz   76Hz  102.3dB   13l +  11l  * 1x40mm   1826mm
 26.5Hz  45Hz   78Hz  103.8dB   11l +  11l  * 1x40mm   1628mm
 28.8Hz  48Hz   80Hz  105.3dB   10l +  11l  * 1x40mm   1450mm
 31.4Hz  51Hz   83Hz  106.8dB    8l +  11l  * 1x40mm   1293mm
 34.1Hz  54Hz   86Hz  108.2dB    7l +  11l  * 1x40mm   1152mm
 37.0Hz  57Hz   88Hz  109.6dB    6l +  11l  * 1x40mm   1027mm
 40.1Hz  61Hz   92Hz  111.0dB    6l +  11l  * 1x40mm    915mm
 43.4Hz  64Hz   95Hz  112.4dB    5l +  11l  * 1x40mm    816mm
-------------
23W4557T02
            82.0dB           225W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 10.6Hz  20Hz   40Hz   87.8dB  954l +  22l  * 1x40mm   4088mm
 11.5Hz  22Hz   41Hz   89.4dB  262l +  22l  * 1x40mm   3644mm
 12.6Hz  23Hz   42Hz   90.9dB  144l +  22l  * 1x40mm   3247mm
 13.8Hz  24Hz   43Hz   92.5dB   96l +  22l  * 1x40mm   2894mm
 15.0Hz  26Hz   44Hz   94.0dB   70l +  22l  * 1x40mm   2579mm
 16.4Hz  27Hz   46Hz   95.5dB   53l +  22l  * 1x40mm   2299mm
 17.8Hz  29Hz   47Hz   96.9dB   42l +  22l  * 1x40mm   2049mm
 19.3Hz  31Hz   49Hz   98.4dB   34l +  22l  * 1x40mm   1826mm
 21.0Hz  32Hz   50Hz   99.8dB   28l +  22l  * 1x40mm   1628mm
 22.8Hz  34Hz   52Hz  101.2dB   24l +  22l  * 1x40mm   1451mm
 24.6Hz  36Hz   54Hz  102.6dB   21l +  22l  * 1x40mm   1359mm
 26.6Hz  39Hz   56Hz  103.9dB   17l +  22l  * 1x40mm   1152mm
 28.8Hz  41Hz   58Hz  105.3dB   14l +  22l  * 1x40mm   1027mm
 31.1Hz  43Hz   60Hz  106.6dB   12l +  22l  * 1x40mm    915mm
 33.5Hz  46Hz   63Hz  107.9dB   11l +  22l  * 1x40mm    816mm
  8.8Hz  21Hz   38Hz   84.6dB  345l +  16l  * 1x40mm   5146mm
  9.6Hz  23Hz   39Hz   86.2dB  169l +  16l  * 1x40mm   4586mm
 10.6Hz  24Hz   40Hz   87.8dB  108l +  16l  * 1x40mm   4087mm
 11.5Hz  25Hz   41Hz   89.4dB   77l +  16l  * 1x40mm   3644mm
 12.6Hz  27Hz   42Hz   90.9dB   58l +  16l  * 1x40mm   3248mm
 13.8Hz  28Hz   43Hz   92.5dB   45l +  16l  * 1x40mm   2894mm
 15.0Hz  30Hz   44Hz   94.0dB   36l +  16l  * 1x40mm   2579mm
 16.4Hz  32Hz   46Hz   95.5dB   30l +  16l  * 1x40mm   2299mm
 17.8Hz  34Hz   47Hz   96.9dB   25l +  16l  * 1x40mm   2049mm
 19.3Hz  36Hz   49Hz   98.4dB   21l +  16l  * 1x40mm   1826mm
 21.0Hz  38Hz   50Hz   99.8dB   18l +  16l  * 1x40mm   1628mm
 22.8Hz  34Hz   52Hz  101.2dB   24l +  16l  * 1x40mm   1974mm
 24.6Hz  36Hz   54Hz  102.6dB   21l +  16l  * 1x40mm   1849mm
 26.6Hz  39Hz   56Hz  103.9dB   17l +  16l  * 1x40mm   1568mm
 24.7Hz  41Hz   58Hz  102.6dB   14l +  16l  * 1x40mm   1398mm
 27.0Hz  43Hz   60Hz  104.2dB   12l +  16l  * 1x40mm   1246mm
 33.5Hz  46Hz   63Hz  107.9dB   11l +  16l  * 1x40mm   1110mm
 10.5Hz  26Hz   62Hz   87.8dB   73l +  11l  * 1x40mm   5146mm
 11.6Hz  27Hz   63Hz   89.5dB   55l +  11l  * 1x40mm   4587mm
 12.8Hz  29Hz   64Hz   91.2dB   44l +  11l  * 1x40mm   4089mm
 14.1Hz  30Hz   66Hz   92.8dB   35l +  11l  * 1x40mm   3643mm
 15.5Hz  32Hz   67Hz   94.5dB   29l +  11l  * 1x40mm   3247mm
 17.0Hz  34Hz   68Hz   96.1dB   24l +  11l  * 1x40mm   2894mm
 18.6Hz  36Hz   70Hz   97.7dB   20l +  11l  * 1x40mm   2579mm
 20.3Hz  38Hz   72Hz   99.2dB   17l +  11l  * 1x40mm   2299mm
 22.2Hz  40Hz   74Hz  100.8dB   15l +  11l  * 1x40mm   2049mm
 24.3Hz  43Hz   76Hz  102.3dB   13l +  11l  * 1x40mm   1826mm
 26.5Hz  45Hz   78Hz  103.8dB   11l +  11l  * 1x40mm   1628mm
 28.8Hz  48Hz   80Hz  105.3dB   10l +  11l  * 1x40mm   1450mm
 31.4Hz  51Hz   83Hz  106.8dB    8l +  11l  * 1x40mm   1293mm
 34.1Hz  54Hz   86Hz  108.2dB    7l +  11l  * 1x40mm   1152mm
 37.0Hz  57Hz   88Hz  109.6dB    6l +  11l  * 1x40mm   1027mm
 40.1Hz  61Hz   92Hz  111.0dB    6l +  11l  * 1x40mm    915mm
 43.4Hz  64Hz   95Hz  112.4dB    5l +  11l  * 1x40mm    816mm
-------------
26W4534G00
            90.5dB            90W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 13.3Hz  28Hz   58Hz   88.8dB  346l +  43l  * 1x50mm   1793mm
 14.6Hz  29Hz   59Hz   90.4dB  249l +  43l  * 1x50mm   1598mm
 16.0Hz  31Hz   60Hz   92.0dB  189l +  43l  * 1x50mm   1424mm
 17.5Hz  33Hz   62Hz   93.6dB  149l +  43l  * 1x50mm   1270mm
 19.2Hz  35Hz   63Hz   95.1dB  120l +  43l  * 1x50mm   1131mm
 20.9Hz  37Hz   65Hz   96.7dB   99l +  43l  * 1x50mm   1008mm
 22.8Hz  39Hz   67Hz   98.2dB   82l +  43l  * 1x50mm    899mm
 24.8Hz  41Hz   69Hz   99.6dB   69l +  43l  * 1x50mm    801mm
 27.0Hz  44Hz   71Hz  101.1dB   59l +  43l  * 1x50mm    714mm
 29.4Hz  46Hz   74Hz  102.5dB   51l +  43l  * 1x50mm    636mm
 31.9Hz  49Hz   76Hz  104.0dB   44l +  43l  * 1x50mm    567mm
 34.5Hz  52Hz   79Hz  105.4dB   38l +  43l  * 1x50mm    505mm
 37.4Hz  54Hz   82Hz  106.7dB   35l +  43l  * 1x50mm    473mm
 40.4Hz  59Hz   85Hz  108.1dB   28l +  43l  - 1x70mm    787mm
 43.7Hz  62Hz   88Hz  109.4dB   25l +  43l  - 1x70mm    701mm
 47.2Hz  66Hz   91Hz  110.8dB   22l +  43l  - 1x70mm    625mm
 50.9Hz  70Hz   95Hz  112.1dB   19l +  43l  - 1x70mm    557mm
 13.3Hz  32Hz   58Hz   88.8dB  160l +  31l  * 1x50mm   1793mm
 14.6Hz  34Hz   59Hz   90.4dB  128l +  31l  * 1x50mm   1598mm
 16.0Hz  36Hz   60Hz   92.0dB  105l +  31l  * 1x50mm   1424mm
 17.5Hz  38Hz   62Hz   93.6dB   87l +  31l  * 1x50mm   1269mm
 19.2Hz  41Hz   63Hz   95.1dB   73l +  31l  * 1x50mm   1131mm
 20.9Hz  43Hz   65Hz   96.7dB   62l +  31l  * 1x50mm   1008mm
 22.8Hz  46Hz   67Hz   98.2dB   53l +  31l  * 1x50mm    899mm
 24.8Hz  48Hz   69Hz   99.6dB   46l +  31l  * 1x50mm    801mm
 27.0Hz  51Hz   71Hz  101.1dB   39l +  31l  * 1x50mm    714mm
 29.4Hz  54Hz   74Hz  102.5dB   34l +  31l  * 1x50mm    636mm
 31.9Hz  57Hz   76Hz  104.0dB   30l +  31l  * 1x50mm    567mm
 34.5Hz  52Hz   79Hz  105.4dB   38l +  31l  * 1x50mm    688mm
 37.4Hz  54Hz   82Hz  106.7dB   35l +  31l  * 1x50mm    644mm
 40.4Hz  59Hz   85Hz  108.1dB   28l +  31l  * 1x50mm    546mm
 37.6Hz  62Hz   88Hz  106.8dB   25l +  31l  * 1x50mm    487mm
 41.0Hz  66Hz   91Hz  108.4dB   22l +  31l  * 1x50mm    434mm
 50.9Hz  70Hz   95Hz  112.1dB   19l +  31l  - 1x70mm    758mm
 16.0Hz  39Hz   94Hz   92.0dB   85l +  22l  * 1x50mm   1793mm
 17.6Hz  41Hz   96Hz   93.7dB   71l +  22l  * 1x50mm   1598mm
 19.4Hz  44Hz   98Hz   95.3dB   61l +  22l  * 1x50mm   1424mm
 21.4Hz  46Hz   99Hz   97.0dB   52l +  22l  * 1x50mm   1269mm
 23.5Hz  49Hz  102Hz   98.6dB   45l +  22l  * 1x50mm   1131mm
 25.7Hz  52Hz  104Hz  100.3dB   38l +  22l  * 1x50mm   1008mm
 28.2Hz  55Hz  106Hz  101.8dB   33l +  22l  * 1x50mm    899mm
 30.9Hz  58Hz  109Hz  103.4dB   29l +  22l  * 1x50mm    801mm
 33.8Hz  61Hz  112Hz  105.0dB   25l +  22l  * 1x50mm    714mm
 36.9Hz  65Hz  115Hz  106.5dB   22l +  22l  * 1x50mm    636mm
 40.2Hz  69Hz  118Hz  108.0dB   20l +  22l  * 1x50mm    567mm
 43.8Hz  73Hz  122Hz  109.5dB   17l +  22l  * 1x50mm    505mm
 47.6Hz  77Hz  126Hz  110.9dB   15l +  22l  * 1x50mm    450mm
 51.7Hz  82Hz  130Hz  112.4dB   13l +  22l  - 1x70mm    787mm
 56.1Hz  87Hz  134Hz  113.8dB   12l +  22l  - 1x70mm    701mm
 60.8Hz  92Hz  139Hz  115.2dB   10l +  22l  - 1x70mm    625mm
 65.9Hz  97Hz  144Hz  116.6dB    9l +  22l  - 1x70mm    557mm
-------------
26W4558T00
            88.0dB           150W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 13.6Hz  28Hz   59Hz   95.6dB  116l +  21l  * 1x50mm   3535mm
 14.9Hz  30Hz   60Hz   97.2dB   91l +  21l  * 1x50mm   3151mm
 16.4Hz  32Hz   62Hz   98.8dB   73l +  21l  * 1x50mm   2808mm
 17.9Hz  34Hz   63Hz  100.4dB   60l +  21l  * 1x50mm   2503mm
 19.6Hz  36Hz   65Hz  101.9dB   50l +  21l  * 1x50mm   2231mm
 21.4Hz  38Hz   67Hz  103.5dB   42l +  21l  * 1x50mm   1988mm
 23.3Hz  40Hz   69Hz  105.0dB   36l +  21l  * 1x50mm   1772mm
 25.4Hz  42Hz   71Hz  106.5dB   31l +  21l  * 1x50mm   1579mm
 27.6Hz  45Hz   73Hz  107.9dB   27l +  21l  * 1x50mm   1407mm
 30.0Hz  48Hz   75Hz  109.4dB   23l +  21l  * 1x50mm   1254mm
 32.6Hz  50Hz   78Hz  110.8dB   20l +  21l  * 1x50mm   1118mm
 35.3Hz  53Hz   81Hz  112.2dB   17l +  21l  * 1x50mm    997mm
 38.2Hz  55Hz   84Hz  113.6dB   16l +  21l  * 1x50mm    933mm
 41.4Hz  60Hz   87Hz  114.9dB   13l +  21l  * 1x50mm    792mm
 44.7Hz  63Hz   90Hz  116.3dB   12l +  21l  * 1x50mm    705mm
 48.3Hz  67Hz   94Hz  117.6dB   10l +  21l  * 1x50mm    629mm
 52.0Hz  71Hz   97Hz  118.9dB    9l +  21l  * 1x50mm    560mm
 13.6Hz  33Hz   59Hz   95.6dB   64l +  15l  * 1x50mm   3535mm
 14.9Hz  35Hz   60Hz   97.2dB   53l +  15l  * 1x50mm   3150mm
 16.4Hz  37Hz   62Hz   98.8dB   45l +  15l  * 1x50mm   2808mm
 17.9Hz  39Hz   63Hz  100.4dB   38l +  15l  * 1x50mm   2503mm
 19.6Hz  42Hz   65Hz  101.9dB   32l +  15l  * 1x50mm   2231mm
 21.4Hz  44Hz   67Hz  103.5dB   28l +  15l  * 1x50mm   1988mm
 23.3Hz  47Hz   69Hz  105.0dB   24l +  15l  * 1x50mm   1772mm
 25.4Hz  49Hz   71Hz  106.5dB   21l +  15l  * 1x50mm   1579mm
 27.6Hz  52Hz   73Hz  107.9dB   18l +  15l  * 1x50mm   1408mm
 30.0Hz  55Hz   75Hz  109.4dB   16l +  15l  * 1x50mm   1254mm
 32.6Hz  59Hz   78Hz  110.8dB   14l +  15l  * 1x50mm   1118mm
 35.3Hz  53Hz   81Hz  112.2dB   17l +  15l  * 1x50mm   1356mm
 38.2Hz  55Hz   84Hz  113.6dB   16l +  15l  * 1x50mm   1270mm
 41.4Hz  60Hz   87Hz  114.9dB   13l +  15l  * 1x50mm   1077mm
 38.4Hz  63Hz   90Hz  113.6dB   12l +  15l  * 1x50mm    960mm
 42.0Hz  67Hz   94Hz  115.2dB   10l +  15l  * 1x50mm    856mm
 52.0Hz  71Hz   97Hz  118.9dB    9l +  15l  * 1x50mm    763mm
 16.3Hz  40Hz   96Hz   98.8dB   37l +  11l  * 1x50mm   3535mm
 18.0Hz  42Hz   98Hz  100.5dB   32l +  11l  * 1x50mm   3151mm
 19.9Hz  45Hz  100Hz  102.2dB   27l +  11l  * 1x50mm   2809mm
 21.8Hz  47Hz  102Hz  103.8dB   23l +  11l  * 1x50mm   2503mm
 24.0Hz  50Hz  104Hz  105.5dB   20l +  11l  * 1x50mm   2231mm
 26.3Hz  53Hz  106Hz  107.1dB   18l +  11l  * 1x50mm   1988mm
 28.9Hz  56Hz  109Hz  108.7dB   16l +  11l  * 1x50mm   1772mm
 31.6Hz  59Hz  112Hz  110.2dB   14l +  11l  * 1x50mm   1579mm
 34.5Hz  63Hz  114Hz  111.8dB   12l +  11l  * 1x50mm   1407mm
 37.7Hz  67Hz  118Hz  113.3dB   10l +  11l  * 1x50mm   1254mm
 41.1Hz  71Hz  121Hz  114.8dB    9l +  11l  * 1x50mm   1118mm
 44.8Hz  75Hz  125Hz  116.3dB    8l +  11l  * 1x50mm    996mm
 48.7Hz  79Hz  129Hz  117.8dB    7l +  11l  * 1x50mm    888mm
 52.9Hz  84Hz  133Hz  119.2dB    6l +  11l  * 1x50mm    792mm
 57.4Hz  89Hz  137Hz  120.6dB    6l +  11l  * 1x50mm    705mm
 62.2Hz  94Hz  142Hz  122.0dB    5l +  11l  * 1x50mm    629mm
 67.4Hz 100Hz  147Hz  123.4dB    4l +  11l  * 1x50mm    560mm
-------------
26W8534G00
            89.0dB            80W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 12.0Hz  25Hz   52Hz   87.0dB  835l +  51l  * 1x50mm   1865mm
 13.2Hz  26Hz   53Hz   88.6dB  464l +  51l  * 1x50mm   1662mm
 14.4Hz  28Hz   54Hz   90.2dB  309l +  51l  * 1x50mm   1481mm
 15.8Hz  30Hz   56Hz   91.8dB  225l +  51l  * 1x50mm   1320mm
 17.3Hz  31Hz   57Hz   93.3dB  172l +  51l  * 1x50mm   1176mm
 18.9Hz  33Hz   59Hz   94.9dB  137l +  51l  * 1x50mm   1049mm
 20.6Hz  35Hz   61Hz   96.4dB  111l +  51l  * 1x50mm    935mm
 22.4Hz  37Hz   62Hz   97.8dB   91l +  51l  * 1x50mm    833mm
 24.4Hz  40Hz   64Hz   99.3dB   76l +  51l  * 1x50mm    742mm
 26.5Hz  42Hz   66Hz  100.7dB   65l +  51l  * 1x50mm    662mm
 28.7Hz  44Hz   69Hz  102.2dB   55l +  51l  * 1x50mm    590mm
 31.1Hz  47Hz   71Hz  103.6dB   47l +  51l  * 1x50mm    526mm
 33.7Hz  49Hz   74Hz  104.9dB   43l +  51l  * 1x50mm    492mm
 36.5Hz  53Hz   76Hz  106.3dB   35l +  51l  * 1x50mm    417mm
 39.4Hz  56Hz   79Hz  107.7dB   31l +  51l  - 1x70mm    729mm
 42.5Hz  59Hz   82Hz  109.0dB   27l +  51l  - 1x70mm    650mm
 45.9Hz  63Hz   86Hz  110.3dB   23l +  51l  - 1x70mm    579mm
 12.0Hz  29Hz   52Hz   87.0dB  248l +  37l  * 1x50mm   1865mm
 13.2Hz  31Hz   53Hz   88.6dB  187l +  37l  * 1x50mm   1662mm
 14.4Hz  33Hz   54Hz   90.2dB  147l +  37l  * 1x50mm   1481mm
 15.8Hz  35Hz   56Hz   91.8dB  118l +  37l  * 1x50mm   1320mm
 17.3Hz  37Hz   57Hz   93.3dB   97l +  37l  * 1x50mm   1177mm
 18.9Hz  39Hz   59Hz   94.9dB   81l +  37l  * 1x50mm   1048mm
 20.6Hz  41Hz   61Hz   96.4dB   68l +  37l  * 1x50mm    935mm
 22.4Hz  44Hz   62Hz   97.8dB   58l +  37l  * 1x50mm    833mm
 24.4Hz  46Hz   64Hz   99.3dB   49l +  37l  * 1x50mm    742mm
 26.5Hz  49Hz   66Hz  100.7dB   43l +  37l  * 1x50mm    662mm
 28.7Hz  52Hz   69Hz  102.2dB   37l +  37l  * 1x50mm    590mm
 31.1Hz  47Hz   71Hz  103.6dB   47l +  37l  * 1x50mm    715mm
 33.7Hz  49Hz   74Hz  104.9dB   43l +  37l  * 1x50mm    670mm
 36.5Hz  53Hz   76Hz  106.3dB   35l +  37l  * 1x50mm    568mm
 33.9Hz  56Hz   79Hz  105.0dB   31l +  37l  * 1x50mm    506mm
 37.0Hz  59Hz   82Hz  106.6dB   27l +  37l  * 1x50mm    451mm
 45.9Hz  63Hz   86Hz  110.3dB   23l +  37l  - 1x70mm    788mm
 14.4Hz  35Hz   85Hz   90.2dB  114l +  26l  * 1x50mm   1864mm
 15.9Hz  37Hz   86Hz   91.9dB   94l +  26l  * 1x50mm   1662mm
 17.5Hz  39Hz   88Hz   93.6dB   79l +  26l  * 1x50mm   1481mm
 19.3Hz  42Hz   90Hz   95.2dB   66l +  26l  * 1x50mm   1320mm
 21.2Hz  44Hz   92Hz   96.8dB   56l +  26l  * 1x50mm   1177mm
 23.2Hz  47Hz   94Hz   98.5dB   48l +  26l  * 1x50mm   1049mm
 25.4Hz  49Hz   96Hz  100.1dB   42l +  26l  * 1x50mm    934mm
 27.9Hz  52Hz   98Hz  101.6dB   36l +  26l  * 1x50mm    833mm
 30.4Hz  55Hz  101Hz  103.2dB   31l +  26l  * 1x50mm    742mm
 33.2Hz  59Hz  104Hz  104.7dB   27l +  26l  * 1x50mm    662mm
 36.2Hz  62Hz  107Hz  106.2dB   24l +  26l  * 1x50mm    590mm
 39.5Hz  66Hz  110Hz  107.7dB   21l +  26l  * 1x50mm    526mm
 42.9Hz  70Hz  113Hz  109.1dB   18l +  26l  * 1x50mm    468mm
 46.7Hz  74Hz  117Hz  110.6dB   16l +  26l  * 1x50mm    417mm
 50.6Hz  78Hz  121Hz  112.0dB   14l +  26l  - 1x70mm    729mm
 54.9Hz  83Hz  125Hz  113.4dB   12l +  26l  - 1x70mm    650mm
 59.4Hz  88Hz  130Hz  114.8dB   11l +  26l  - 1x70mm    579mm
-------------
30W4558T00
            89.0dB           350W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 10.8Hz  22Hz   47Hz   94.0dB  265l +  45l  * 1x50mm   2599mm
 11.8Hz  24Hz   48Hz   95.6dB  206l +  45l  * 1x50mm   2316mm
 13.0Hz  25Hz   49Hz   97.2dB  165l +  45l  * 1x50mm   2064mm
 14.2Hz  27Hz   50Hz   98.8dB  135l +  45l  * 1x50mm   1840mm
 15.5Hz  28Hz   51Hz  100.3dB  112l +  45l  * 1x50mm   1640mm
 17.0Hz  30Hz   53Hz  101.9dB   94l +  45l  * 1x50mm   1461mm
 18.5Hz  32Hz   54Hz  103.4dB   79l +  45l  * 1x50mm   1303mm
 20.1Hz  34Hz   56Hz  104.9dB   68l +  45l  * 1x50mm   1161mm
 21.9Hz  36Hz   58Hz  106.3dB   58l +  45l  * 1x50mm   1035mm
 23.8Hz  38Hz   60Hz  107.8dB   50l +  45l  * 1x50mm    922mm
 25.8Hz  40Hz   62Hz  109.2dB   44l +  45l  * 1x50mm    822mm
 28.0Hz  42Hz   64Hz  110.6dB   38l +  45l  * 1x50mm    733mm
 30.3Hz  44Hz   66Hz  112.0dB   35l +  45l  * 1x50mm    686mm
 32.8Hz  47Hz   69Hz  113.3dB   29l +  45l  * 1x50mm    582mm
 35.4Hz  50Hz   71Hz  114.7dB   25l +  45l  * 1x50mm    519mm
 38.2Hz  53Hz   74Hz  116.0dB   22l +  45l  * 1x50mm    462mm
 41.2Hz  56Hz   77Hz  117.3dB   20l +  45l  * 1x50mm    412mm
 10.8Hz  26Hz   47Hz   94.0dB  143l +  33l  * 1x50mm   2599mm
 11.8Hz  28Hz   48Hz   95.6dB  118l +  33l  * 1x50mm   2316mm
 13.0Hz  29Hz   49Hz   97.2dB   99l +  33l  * 1x50mm   2064mm
 14.2Hz  31Hz   50Hz   98.8dB   84l +  33l  * 1x50mm   1840mm
 15.5Hz  33Hz   51Hz  100.3dB   71l +  33l  * 1x50mm   1640mm
 17.0Hz  35Hz   53Hz  101.9dB   61l +  33l  * 1x50mm   1461mm
 18.5Hz  37Hz   54Hz  103.4dB   53l +  33l  * 1x50mm   1303mm
 20.1Hz  39Hz   56Hz  104.9dB   46l +  33l  * 1x50mm   1161mm
 21.9Hz  42Hz   58Hz  106.3dB   40l +  33l  * 1x50mm   1035mm
 23.8Hz  44Hz   60Hz  107.8dB   35l +  33l  * 1x50mm    922mm
 25.8Hz  47Hz   62Hz  109.2dB   30l +  33l  * 1x50mm    822mm
 28.0Hz  42Hz   64Hz  110.6dB   38l +  33l  * 1x50mm    997mm
 30.3Hz  44Hz   66Hz  112.0dB   35l +  33l  * 1x50mm    934mm
 32.8Hz  47Hz   69Hz  113.3dB   29l +  33l  * 1x50mm    792mm
 30.4Hz  50Hz   71Hz  112.0dB   25l +  33l  * 1x50mm    706mm
 33.3Hz  53Hz   74Hz  113.6dB   22l +  33l  * 1x50mm    629mm
 41.2Hz  56Hz   77Hz  117.3dB   20l +  33l  * 1x50mm    561mm
 13.0Hz  31Hz   76Hz   97.2dB   81l +  23l  * 1x50mm   2599mm
 14.3Hz  33Hz   78Hz   98.9dB   69l +  23l  * 1x50mm   2317mm
 15.7Hz  35Hz   79Hz  100.6dB   60l +  23l  * 1x50mm   2065mm
 17.3Hz  37Hz   81Hz  102.2dB   51l +  23l  * 1x50mm   1840mm
 19.0Hz  40Hz   82Hz  103.9dB   45l +  23l  * 1x50mm   1640mm
 20.9Hz  42Hz   84Hz  105.5dB   39l +  23l  * 1x50mm   1461mm
