-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
15M4831G00
            90.0dB            40W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 55.8Hz  88Hz  140Hz  103.1dB    4l +   3l  + 1x40mm   1381mm
 60.6Hz  94Hz  145Hz  104.5dB    3l +   3l  + 1x40mm   1231mm
 65.6Hz  99Hz  150Hz  105.9dB    3l +   3l  + 1x40mm   1097mm
 71.1Hz 102Hz  155Hz  107.3dB    3l +   3l  + 1x40mm   1027mm
 76.9Hz 111Hz  161Hz  108.6dB    2l +   3l  + 1x40mm    871mm
 83.1Hz 118Hz  167Hz  110.0dB    2l +   3l  - 1x40mm    776mm
 25.3Hz  61Hz  109Hz   89.3dB   11l +   3l  + 1x40mm   3891mm
 27.8Hz  65Hz  112Hz   90.9dB    9l +   3l  + 1x40mm   3467mm
 30.4Hz  69Hz  115Hz   92.5dB    8l +   3l  + 1x40mm   3090mm
 33.3Hz  73Hz  117Hz   94.1dB    6l +   3l  + 1x40mm   2755mm
 36.4Hz  77Hz  121Hz   95.7dB    5l +   3l  + 1x40mm   2455mm
 39.8Hz  82Hz  124Hz   97.2dB    5l +   3l  + 1x40mm   2188mm
 43.4Hz  87Hz  128Hz   98.7dB    4l +   3l  + 1x40mm   1950mm
 47.2Hz  92Hz  131Hz  100.2dB    4l +   3l  + 1x40mm   1738mm
 51.4Hz  97Hz  136Hz  101.6dB    3l +   3l  + 1x40mm   1549mm
 55.8Hz 103Hz  140Hz  103.1dB    3l +   3l  + 1x40mm   1381mm
 60.6Hz 109Hz  145Hz  104.5dB    2l +   3l  + 1x40mm   1231mm
 65.6Hz  99Hz  150Hz  105.9dB    3l +   3l  + 1x40mm   1493mm
 71.1Hz 102Hz  155Hz  107.3dB    3l +   3l  + 1x40mm   1398mm
 76.9Hz 111Hz  161Hz  108.6dB    2l +   3l  + 1x40mm   1186mm
 71.4Hz 118Hz  167Hz  107.3dB    2l +   3l  + 1x40mm   1057mm
 78.0Hz 125Hz  174Hz  108.9dB    2l +   3l  + 1x40mm    942mm
 30.4Hz  74Hz  179Hz   92.5dB    6l +   2l  + 1x40mm   3891mm
 33.5Hz  78Hz  182Hz   94.2dB    5l +   2l  + 1x40mm   3468mm
 36.9Hz  83Hz  185Hz   95.9dB    5l +   2l  + 1x40mm   3091mm
 40.6Hz  88Hz  189Hz   97.5dB    4l +   2l  + 1x40mm   2755mm
 44.6Hz  93Hz  193Hz   99.2dB    3l +   2l  + 1x40mm   2455mm
 48.9Hz  98Hz  197Hz  100.8dB    3l +   2l  + 1x40mm   2188mm
 53.6Hz 104Hz  202Hz  102.4dB    3l +   2l  + 1x40mm   1950mm
 58.7Hz 110Hz  207Hz  103.9dB    2l +   2l  + 1x40mm   1738mm
 64.2Hz 117Hz  213Hz  105.5dB    2l +   2l  + 1x40mm   1549mm
 70.1Hz 124Hz  219Hz  107.0dB    2l +   2l  + 1x40mm   1381mm
 76.4Hz 131Hz  225Hz  108.5dB    2l +   2l  + 1x40mm   1231mm
 83.2Hz 139Hz  232Hz  110.0dB    1l +   2l  + 1x40mm   1097mm
-------------
15W8530K00
            85.0dB            60W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 23.0Hz  48Hz   99Hz   87.7dB   18l +   4l  + 1x40mm   3758mm
 25.2Hz  51Hz  102Hz   89.3dB   15l +   4l  + 1x40mm   3349mm
 27.7Hz  54Hz  104Hz   90.9dB   13l +   4l  + 1x40mm   2985mm
 30.3Hz  57Hz  107Hz   92.4dB   11l +   4l  + 1x40mm   2661mm
 33.1Hz  60Hz  110Hz   94.0dB    9l +   4l  + 1x40mm   2371mm
 36.1Hz  64Hz  113Hz   95.5dB    8l +   4l  + 1x40mm   2113mm
 39.4Hz  68Hz  116Hz   97.0dB    7l +   4l  + 1x40mm   1883mm
 42.9Hz  72Hz  119Hz   98.5dB    6l +   4l  + 1x40mm   1679mm
 46.7Hz  76Hz  123Hz  100.0dB    5l +   4l  + 1x40mm   1496mm
 50.7Hz  80Hz  127Hz  101.4dB    5l +   4l  + 1x40mm   1333mm
 55.0Hz  85Hz  131Hz  102.8dB    4l +   4l  + 1x40mm   1188mm
 59.6Hz  90Hz  136Hz  104.2dB    3l +   4l  + 1x40mm   1059mm
 64.6Hz  93Hz  141Hz  105.6dB    3l +   4l  + 1x40mm    992mm
 69.8Hz 101Hz  146Hz  107.0dB    3l +   4l  + 1x40mm    841mm
 75.5Hz 107Hz  152Hz  108.3dB    2l +   4l  - 1x40mm    750mm
 81.4Hz 113Hz  158Hz  109.6dB    2l +   4l  - 1x40mm    668mm
 23.0Hz  56Hz   99Hz   87.7dB   11l +   3l  + 1x40mm   3758mm
 25.2Hz  59Hz  102Hz   89.3dB   10l +   3l  + 1x40mm   3349mm
 27.7Hz  63Hz  104Hz   90.9dB    8l +   3l  + 1x40mm   2984mm
 30.3Hz  66Hz  107Hz   92.4dB    7l +   3l  + 1x40mm   2660mm
 33.1Hz  70Hz  110Hz   94.0dB    6l +   3l  + 1x40mm   2371mm
 36.1Hz  74Hz  113Hz   95.5dB    5l +   3l  + 1x40mm   2113mm
 39.4Hz  79Hz  116Hz   97.0dB    5l +   3l  + 1x40mm   1883mm
 42.9Hz  83Hz  119Hz   98.5dB    4l +   3l  + 1x40mm   1679mm
 46.7Hz  88Hz  123Hz  100.0dB    4l +   3l  + 1x40mm   1496mm
 50.7Hz  94Hz  127Hz  101.4dB    3l +   3l  + 1x40mm   1333mm
 55.0Hz  99Hz  131Hz  102.8dB    3l +   3l  + 1x40mm   1188mm
 59.6Hz  90Hz  136Hz  104.2dB    3l +   3l  + 1x40mm   1442mm
 64.6Hz  93Hz  141Hz  105.6dB    3l +   3l  + 1x40mm   1350mm
 69.8Hz 101Hz  146Hz  107.0dB    3l +   3l  + 1x40mm   1145mm
